Event Name,Event Start,Event End,Event Location,Event Description
All Students Attend,2024-08-19 08:00 AM,2024-08-19 08:30 AM,,"
"
Health Fair in BELS Gymnasium,2024-08-21 08:00 AM,2024-08-21 01:00 PM,,"
"
Color Days: Wear Red,2024-08-26 08:00 AM,2024-08-26 08:30 AM,,"
"
Color Days: Wear Yellow,2024-08-27 08:00 AM,2024-08-27 08:30 AM,,"
"
Color Days: Wear Blue,2024-08-28 08:00 AM,2024-08-28 08:30 AM,,"
"
Color Days: Wear Green,2024-08-29 08:00 AM,2024-08-29 08:30 AM,,"
"
Color Days: Wear Orange,2024-08-30 08:00 AM,2024-08-30 08:30 AM,,"
"
Color Days: Wear Purple,2024-09-03 08:00 AM,2024-09-03 08:30 AM,,"
"
Color Days: Wear Brown,2024-09-04 08:00 AM,2024-09-04 08:30 AM,,"
"
Color Days: Wear Black and White,2024-09-05 08:00 AM,2024-09-05 08:30 AM,,"
"
"Color Days: Girls Wear Pink, Boys Wear Gray",2024-09-06 08:00 AM,2024-09-06 08:30 AM,,"
"
Parent-Teacher Conferences,2024-09-18 03:30 PM,2024-09-18 06:30 PM,,"
"
Head Start University,2024-09-19 08:00 AM,2024-09-19 10:00 AM,,"cafeteria
"
CPAC Meeting,2024-09-24 03:30 PM,2024-09-24 04:30 PM,,"Meeting for community stakeholders to provide input and feedback to the district's Voluntary Pre-K program
"
Student Appreciation Day-Parade of Cultures,2024-09-26 09:00 AM,2024-09-26 09:30 AM,,"
"
Hispanic Cultural Dance Performance,2024-09-26 09:30 AM,2024-09-26 10:30 AM,,"
"
The Bridge Newcomer Group Meeting,2024-09-26 05:00 PM,2024-09-26 06:30 PM,,"
"
Literacy Night ,2024-10-01 04:00 PM,2024-10-01 06:00 PM,,"
"
Touch A Truck,2024-10-18 08:30 AM,2024-10-18 11:30 AM,,"
"
Red Ribbon Week Celebration,2024-10-24 08:00 AM,2024-10-24 08:30 AM,,"
"
Trick-r-Treating Through the Halls,2024-10-31 09:30 AM,2024-10-31 10:00 AM,,"
"
Spanish National Honor Society visit for Dia de los Muertos,2024-11-01 07:00 AM,2024-11-01 08:00 AM,,"
"
"Coral Reef for these classes: Mrs. Pam, Ms. Jennifer, Mrs. Sam, Ms. Ava, Mrs. Elizabeth, Mrs. Stacy, Mrs. Kelsi",2024-11-25 08:00 AM,2024-11-25 12:30 PM,,"
"
