Event Name,Event Start,Event End,Event Location,Event Description
No School-Fall Break,2024-10-07 08:00 AM,2024-10-11 08:30 AM,,"
"
CPES Kona Ice ,2024-10-15 01:00 PM,2024-10-15 02:30 PM,,"
"
Wear your pink to support Breast Cancer Awareness Month and SHS’ Pink out game tonight!,2024-10-18,2024-10-19,,"
"
Report Card Day,2024-10-18 08:00 AM,2024-10-18 08:30 AM,,"
"
Wear Red! ,2024-10-21,2024-10-22,,"
"
Pajama Day ,2024-10-22,2024-10-23,,"
"
Wacky Tacky Mixed up day,2024-10-23,2024-10-24,,"
"
Super Hero Day,2024-10-24,2024-10-25,,"
"
Costume Day for $1 ,2024-10-25,2024-10-26,,"School appropriate costumes, do not cover face
"
Black and Gold Day,2024-10-25,2024-10-26,,"
"
No School-Teacher PD Day,2024-11-04 08:00 AM,2024-11-04 08:30 AM,,"
"
No School-Election Day ,2024-11-05 08:00 AM,2024-11-05 08:30 AM,,"
"
CPES STEAM Family Night,2024-11-07 04:30 AM,2024-11-07 06:00 AM,,"
"
Kona Ice ,2024-11-12 01:00 PM,2024-11-12 02:00 PM,,"
"
Kona Ice,2024-11-12 01:00 PM,2024-11-12 01:30 PM,,"
"
Progress Report Day,2024-11-15 08:00 AM,2024-11-15 08:30 AM,,"
"
CPES Pastries with the Principal,2024-11-19 08:00 AM,2024-11-19 08:30 AM,,"
"
PJ Day for $1,2024-11-22,2024-11-23,,"
"
No School-Thanksgiving Holiday,2024-11-27 08:00 AM,2024-11-29 08:30 AM,,"
"
Kona Ice ,2024-12-10 01:00 PM,2024-12-10 01:30 PM,,"
"
1/2 Day ,2024-12-20 08:00 AM,2024-12-20 08:30 AM,,"
"
No School-Winter Holiday,2024-12-23 08:00 AM,2025-01-03 08:30 AM,,"
"
No School-Teacher PD Day,2025-01-06 08:00 AM,2025-01-06 08:30 AM,,"
"
Report Card Day,2025-01-10 08:00 AM,2025-01-10 08:30 AM,,"
"
CPES Kona Ice,2025-01-14 01:00 PM,2025-01-14 01:30 PM,,"
"
No School-Martin Luther King Day Holiday ,2025-01-20 08:00 AM,2025-01-20 08:30 AM,,"
"
CPES Hat Day - $1 Fundraiser,2025-01-31 08:00 AM,2025-01-31 08:30 AM,,"
"
Progress Reports ,2025-02-07 08:00 AM,2025-02-07 08:30 AM,,"
"
CPES Kona Ice,2025-02-11 01:00 PM,2025-02-11 01:30 PM,,"
"
CPES Parent Teacher Conferences ,2025-02-13 03:30 PM,2025-02-13 06:30 PM,,"
"
No School-President's Day ,2025-02-17 08:00 AM,2025-02-17 08:30 AM,,"
"
CPES Literacy Night & Book Fair,2025-02-27 04:30 PM,2025-02-27 06:00 PM,,"
"
CPES Pajama Day ($1 Fundraiser),2025-02-28,2025-03-01,,"
"
No School-Teacher PD Day,2025-03-03 08:00 AM,2025-03-03 08:30 AM,,"
"
CPES Kona Ice,2025-03-11 01:00 PM,2025-03-11 01:30 PM,,"
"
No School-Spring Break,2025-03-17 08:00 AM,2025-03-21 08:30 AM,,"
"
Report Card Day,2025-03-28 08:00 AM,2025-03-28 08:30 AM,,"
"
CPES Kona Ice,2025-04-08 01:00 PM,2025-04-08 01:30 PM,,"
"
No School-Good Friday Holiday,2025-04-18 08:00 AM,2025-04-18 08:30 AM,,"
"
Progress Reports,2025-04-25 08:00 AM,2025-04-25 08:30 AM,,"
"
Kona Ice,2025-05-13 01:00 PM,2025-05-13 01:30 PM,,"
"
Report Card Day Pick up 1/2 day,2025-05-23 08:00 AM,2025-05-23 08:30 AM,,"
"
CPES Registration,2025-07-30 08:00 AM,2025-07-30 03:00 PM,,"
"
Open House ,2025-07-31 03:30 AM,2025-07-31 06:30 AM,,"
"
CPES Registration,2025-07-31 12:00 PM,2025-07-31 07:00 PM,,"
"
Open House ,2025-07-31 03:30 PM,2025-07-31 06:30 PM,,"
"
1/2 day of school!,2025-08-05 08:00 AM,2025-08-05 08:30 AM,,"
"
CPES Kona Ice,2025-08-12 01:00 PM,2025-08-12 02:00 PM,,"
"
Picture Day!,2025-08-20 08:00 AM,2025-08-20 08:30 AM,,"
"
Labor Day-No School,2025-09-01 08:00 AM,2025-09-01 08:30 AM,,"
"
Q1 Progress Report ,2025-09-05 08:00 AM,2025-09-05 08:30 AM,,"
"
CPES Kona Ice,2025-09-09 01:00 PM,2025-09-09 02:00 PM,,"
"
No School (Professional Development for Teachers),2025-09-15,2025-09-16,,"
"
CPES Title I Family Night & 3rd Grade Meeting,2025-09-25 05:30 PM,2025-09-25 06:30 PM,,"
"
CPES Hat Day ($1 Fundraiser),2025-09-26,2025-09-27,,"
"
CPES Book Fair,2025-09-29,2025-10-04,,"
"
CPES Multicultural Day,2025-10-02,2025-10-03,,"
"
CPES EL Family Event,2025-10-02 08:30 AM,2025-10-02 08:30 AM,,"
"
CPES Book Fair Open for Families,2025-10-02 04:00 PM,2025-10-02 06:00 PM,,"
"
CPES Kona Ice,2025-10-08 01:00 PM,2025-10-08 02:00 PM,,"
"
CPES 3rd Grade Field Trip,2025-10-10,2025-10-11,,"
"
CPES PTO Autumn Jubilee,2025-10-21 04:30 PM,2025-10-21 06:30 PM,,"
"
Parent Teacher Conferences ,2025-11-04 08:00 AM,2025-11-04 08:30 AM,,"
"
CPES Kona Ice,2025-11-11 01:00 PM,2025-11-11 02:00 PM,,"
"
CPES Kona Ice,2025-12-09 01:00 PM,2025-12-09 02:00 PM,,"
"
CPES Kona Ice,2026-01-13 01:00 PM,2026-01-13 02:00 PM,,"
"
CPES Kona Ice,2026-02-10 01:00 PM,2026-02-10 02:00 PM,,"
"
CPES Book Fair,2026-02-23,2026-02-28,,"
"
CPES Kona Ice,2026-03-10 01:00 PM,2026-03-10 02:00 PM,,"
"
CPES Kona Ice,2026-04-07 01:00 PM,2026-04-07 02:00 PM,,"
"
CPES Kona Ice,2026-05-12 01:00 PM,2026-05-12 02:00 PM,,"
"
