Event Name,Event Start,Event End,Event Location,Event Description
Santa Shop,2024-12-09,2024-12-14,,"Please check dojo for information regarding your student's shopping time!
"
Dress up day! Wear Plaid,2024-12-11,2024-12-12,,"
"
Wear your favorite holiday socks!,2024-12-12,2024-12-13,,"
"
Bundle up! Wear your holiday hat and scarf!,2024-12-13,2024-12-14,,"
"
Wear your favorite holiday sweater!,2024-12-16,2024-12-17,,"
"
PTO Meeting,2024-12-16 03:00 PM,2024-12-16 03:30 PM,,"
"
Wear green and red!,2024-12-17,2024-12-18,,"
"
Special Treat,2024-12-17,2024-12-18,,"Please see Class Dojo for more information about special treats!
"
Put on your holiday best!,2024-12-18,2024-12-19,,"
"
PJ Day!,2024-12-19,2024-12-20,,"
"
Tacky Christmas Sweater Day!,2024-12-20,2024-12-21,,"
"
Special Treat,2025-01-21,2025-01-22,,"Please see Class Dojo for more information about special treats!
"
PTO Meeting,2025-01-27 03:00 PM,2025-01-27 03:30 PM,,"
"
4-H Meeting,2025-02-11 07:00 AM,2025-02-11 07:30 AM,,"
"
Special Treat,2025-02-18,2025-02-19,,"Please see Class Dojo for more information about special treats!
"
Parent Teacher Conferences,2025-02-20 03:30 PM,2025-02-20 06:30 PM,,"
"
PTO Meeting,2025-02-24 03:00 PM,2025-02-24 03:30 PM,,"
"
Spring Pictures,2025-03-10,2025-03-11,,"
"
Special Treat,2025-03-11,2025-03-12,,"Please see Class Dojo for more information about special treats!
"
Pie a Teacher Fundraiser,2025-03-24,2025-03-28,,"A CES family is in need after a house fire displaced their family. Please send any donations with your student.
"
Book Fair,2025-04-07,2025-04-12,,"Please check dojo for information on when your child can shop.
"
Book Fair Family ,2025-04-08 03:00 PM,2025-04-08 05:00 PM,,"
"
Tcap Testing,2025-04-14,2025-05-01,,"
"
Special Treat,2025-04-15,2025-04-16,,"Please see Class Dojo for more information about special treats!
"
Kindergarten Field Trip,2025-04-16,2025-04-17,,"
"
PTO Meeting,2025-04-21 03:00 PM,2025-04-21 03:30 PM,,"
"
Fifth Grade Visits the Middle School,2025-05-05,2025-05-06,,"
"
Pre-K Field Trip,2025-05-06,2025-05-07,,"
"
First Grade Field Trip,2025-05-09,2025-05-10,,"
"
5th Grade Field Trip,2025-05-13,2025-05-14,,"
"
3rd Grade Field Trip,2025-05-15,2025-05-16,,"
"
Field Day,2025-05-16,2025-05-17,,"
"
PTO Meeting,2025-05-19 03:00 PM,2025-05-19 03:30 PM,,"
"
Special Treat,2025-05-20,2025-05-21,,"Please see Class Dojo for more information about special treats!
"
"Pre-K, Kindergarten, and Fifth Grade Celebration",2025-05-21,2025-05-22,,"
"
Registration,2025-07-29 12:00 PM,2025-07-29 07:00 PM,,"We will be at CES to assist you with your registration needs. Feel free to stop by the front office or call the school for assistance.
"
Registration,2025-07-30 08:00 AM,2025-07-30 03:00 PM,,"We will be at CES to assist you with your registration needs. Feel free to stop by the front office or call the school for assistance.
"
Open House,2025-08-01 03:30 PM,2025-08-01 06:30 PM,,"
"
Group 1 Kindergarten Attends,2025-08-11,2025-08-12,,"Stay tuned to find out what day your child will attend.
"
Group 2 Kindergarten Attends,2025-08-12,2025-08-13,,"Stay tuned to find out what day your child will attend.

"
All Kindergarteners Attend,2025-08-13,2025-08-14,,"
"
All Pre-K students Attend,2025-08-18,2025-08-19,,"
"
Special Treat,2025-10-21,2025-10-22,,"Students can purchase a special treat for $4, $5, or $6.
"
Red Ribbon Week: PJ Day,2025-10-27,2025-10-28,,"
"
4-H Meeting,2025-10-28,2025-10-29,,"4th and 5th Grade classes only
"
Red Ribbon Week: Wear Red,2025-10-28,2025-10-29,,"
"
Picture Retakes,2025-10-29,2025-10-30,,"
"
Red Ribbon Week: Wear your favorite teams gear!,2025-10-29,2025-10-30,,"
"
2nd Grade Field Trip,2025-10-30,2025-10-31,,"
"
Red Ribbon Week: Wear Purple and Gold,2025-10-30,2025-10-31,,"
"
Kindergarten Field Trip,2025-10-31,2025-11-01,,"
"
3rd Grade Field Trip,2025-10-31,2025-11-01,,"
"
Red Ribbon Week: Wear Neon Colors,2025-10-31,2025-11-01,,"
"
No School: PD Day for Teachers,2025-11-03,2025-11-04,,"
"
Parent Teacher Conferences,2025-11-04 12:00 PM,2025-11-04 07:00 PM,,"
"
Veteran's Day Program,2025-11-11,2025-11-12,,"
"
Thanksgiving Day Lunch,2025-11-13,2025-11-14,,"Please contact your child's homeroom teacher for information and to RSVP
"
Special Treat,2025-11-18,2025-11-19,,"Students can purchase a special treat for $4, $5, or $6.
"
5th Grade Winter Musical,2025-12-11 06:00 PM,2025-12-11 06:30 PM,,"
"
