Event Name,Event Start,Event End,Event Location,Event Description
Open House,2024-08-02 03:30 PM,2024-08-02 06:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Spirit Week (Jersey Day),2024-08-19,2024-08-20,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Wear the jersey of your favorite sports team or play
"
Spirit Week (Pajamas Day),2024-08-20,2024-08-21,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Wear your pajamas to school (must still be in RCS dress code)
"
Spirit Week (Twin Day),2024-08-21,2024-08-22,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Find a friend and dress alike
"
Spirit Week (Spirit Day),2024-08-22,2024-08-23,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Wear school colors (purple, yellow/gold, white) to support the football team and homecoming delegates
"
Parent-Teacher Conferences,2024-09-10 03:30 PM,2024-09-10 06:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Everyone is welcome.  Reach out to your child's teacher to schedule a time.
"
8th Grade President Speeches,2024-09-12 07:20 AM,2024-09-12 07:40 AM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","During Morning Announcements
"
Class President Election Day,2024-09-13,2024-09-14,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Voting done during Homeroom time
"
Kona Ice ,2024-09-24,2024-09-25,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
ELA Benchmarks,2024-09-24 07:30 AM,2024-09-24 08:20 AM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Math Benchmarks,2024-09-25 07:30 AM,2024-09-25 08:20 AM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Science Benchmarks,2024-09-26 07:30 AM,2024-09-26 08:20 AM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Fall Picture Day,2024-10-03,2024-10-04,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Fall and Yearbook Pictures
Don't send Money (Proofs will be sent home)
Visit www.mericrisp.com<http://www.mericrisp.com>

"
