Event Name,Event Start,Event End,Event Location,Event Description
Wrestling vs. East Robertson & Greenbrier,2024-11-01 04:30 PM,2024-11-01 06:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Meet with Coopertown, East Robertson, and Greenbrier
"
Basketball vs. East Robertson,2024-11-04 04:00 PM,2024-11-04 09:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Girls JV: 4pm
Boys JV: 4:45pm
Girls Varsity: 6pm
Boys Varsity: 7:15pm
"
Basketball @ Jo Byrns,2024-11-07 04:00 PM,2024-11-07 09:00 PM,"Jo Byrns High School (7025 Highway 41 N, Cedar Hill, TN 37032, United States)","Girls JV: 4pm
Boys JV: 4:45pm
Girls Varsity: 6pm
Boys Varsity: 7:15pm
"
Basketball vs. Innovation Academy,2024-11-11 04:00 PM,2024-11-11 09:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Girls JV: 4pm
Boys JV: 4:45pm
Girls Varsity: 6pm
Boys Varsity: 7:15pm
"
Wrestling @ Greenbrier,2024-11-14 04:30 PM,2024-11-14 06:30 PM,"Greenbrier Middle School (2450 Highway 41 S, Greenbrier, TN 37073, United States)","
"
Basketball @ White House Heritage,2024-11-18 04:00 PM,2024-11-18 09:00 PM,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","Girls JV: 4pm
Boys JV: 4:45pm
Girls Varsity: 6pm
Boys Varsity: 7:15pm
"
Basketball vs. Richview,2024-11-19 04:00 PM,2024-11-19 09:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Girls JV: 4pm
Boys JV: 4:45pm
Girls Varsity: 6pm
Boys Varsity: 7:15pm
"
Wrestling @ East Robertson,2024-11-19 05:30 PM,2024-11-19 07:30 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","Wrestling Meet including East Robertson, Jo Byrns, and Fairview
"
Basketball @ Greenbrier,2024-11-21 04:00 PM,2024-11-21 09:00 PM,"Greenbrier Middle School (2450 Highway 41 S, Greenbrier, TN 37073, United States)","Girls JV: 4pm
Boys JV: 4:45pm
Girls Varsity: 6pm
Boys Varsity: 7:15pm
"
Wrestling vs. Charlotte,2024-11-21 04:30 PM,2024-11-21 06:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
