Event Name,Event Start,Event End,Event Location,Event Description
Office Open for Registration,2024-07-26 08:00 AM,2024-07-26 03:00 PM,,"
"
Office Open for Registration,2024-07-29 12:00 PM,2024-07-29 07:00 PM,,"
"
Open House 1st-5th,2024-08-01 03:30 PM,2024-08-01 06:30 PM,,"
"
Kindergarten sessions in Cafe ,2024-08-01 04:30 PM,2024-08-01 06:30 PM,,"
"
Administrative Day No Students,2024-08-05,2024-08-06,,"
"
Individual testing sessions for Kindergarten students,2024-08-06 07:30 AM,2024-08-06 02:00 PM,,"
"
Half Day Dismissal at 10:45,2024-08-06 10:45 AM,2024-08-06 10:45 AM,,"
"
Individual testing sessions for Kindergarten students,2024-08-07 07:30 AM,2024-08-07 02:00 PM,,"
"
Individual testing sessions for Kindergarten students,2024-08-08 07:30 AM,2024-08-08 02:00 PM,,"
"
Kindergarten Parent sessions with teacher ,2024-08-09,2024-08-10,,"
"
Kindergarten boys attend,2024-08-12,2024-08-13,,"
"
Kindergarten girls attend,2024-08-13,2024-08-14,,"
"
All kindergarten attend,2024-08-14,2024-08-15,,"
"
Parent Volunteer Monday,2024-08-26 07:30 AM,2024-08-26 09:30 AM,,"
"
Safety Drill Practices,2024-08-27,2024-08-28,,"
"
Labor Day No School,2024-09-02,2024-09-03,,"
"
ELL Family Night,2024-09-03 04:30 PM,2024-09-03 06:30 PM,,"
"
PTO Meeting at MLK Park,2024-09-03 06:00 PM,2024-09-03 07:00 PM,,"
"
Progress reports go home,2024-09-06,2024-09-07,,"
"
Parent Teacher Conferences,2024-09-12 03:30 PM,2024-09-12 06:30 PM,,"
"
Staff Professional Development No Students,2024-09-16 07:00 AM,2024-09-16 07:30 AM,,"
"
3rd grade Parent Mtg,2024-09-17 07:30 AM,2024-09-17 08:00 AM,,"
"
3rd grade Parent Meeting,2024-09-17 05:30 PM,2024-09-17 06:00 PM,,"
"
Reading & Title Night,2024-09-26 04:00 PM,2024-09-26 06:30 PM,,"
"
Parent Volunteer Monday,2024-09-30 07:30 AM,2024-09-30 09:30 AM,,"
"
Fall Pictures,2024-10-02,2024-10-03,,"
"
House Day for Students,2024-10-04,2024-10-05,,"
"
Fall Break No School,2024-10-07,2024-10-12,,"
"
Book Fair,2024-10-15,2024-10-16,,"
"
Book Fair,2024-10-16,2024-10-17,,"
"
Book Fair,2024-10-17,2024-10-18,,"
"
Book Fair,2024-10-18,2024-10-19,,"
"
Q1 Report Cards come home,2024-10-18,2024-10-19,,"
"
Book Fair,2024-10-21,2024-10-22,,"
"
Book Fair,2024-10-22,2024-10-23,,"
"
Book Fair,2024-10-23,2024-10-24,,"
"
Book Fair,2024-10-24,2024-10-25,,"
"
Book Fair,2024-10-25,2024-10-26,,"
"
Red Ribbon Week,2024-10-28,2024-11-02,,"
"
Career Dress Up Day,2024-10-28,2024-10-29,,"
"
Parent Volunteer Monday,2024-10-28 07:30 AM,2024-10-28 09:30 AM,,"
"
Hat day,2024-10-29,2024-10-30,,"
"
Tie Die Day,2024-10-30,2024-10-31,,"
"
Fall Color Day (NO Costumes),2024-10-31,2024-11-01,,"
"
Crestview Shirt or House Color Day,2024-11-01,2024-11-02,,"
"
Staff Professional Development No Students,2024-11-04,2024-11-05,,"
"
Election day No School,2024-11-05,2024-11-06,,"
"
Q2 Progress Reports come home,2024-11-15,2024-11-16,,"
"
Parent Volunteer Monday,2024-11-25 07:30 AM,2024-11-25 09:30 AM,,"
"
Thanksgiving Break No School,2024-11-27,2024-11-30,,"
"
Picture Retakes,2024-12-12,2024-12-13,,"
"
Parent Volunteer Monday,2024-12-16 07:30 AM,2024-12-16 09:30 AM,,"
"
Half Day Dismissal at 10:45,2024-12-20 10:45 AM,2024-12-20 10:45 AM,,"
"
Winter Break No School,2024-12-23,2025-01-04,,"
"
Professional Development for teachers No Students,2025-01-06,2025-01-07,,"
"
Q2 Report cards go home,2025-01-10,2025-01-11,,"
"
MLK Jr. Day No School,2025-01-20,2025-01-21,,"
"
Parent Volunteer Monday,2025-01-27 07:30 AM,2025-01-27 09:30 AM,,"
"
Q3 Progress Reports go home,2025-02-07,2025-02-08,,"
"
Parent Student Conferences,2025-02-13 03:30 PM,2025-02-13 06:30 PM,,"
"
President's Day No School,2025-02-17,2025-02-18,,"
"
Parent Volunteer Monday,2025-02-24 07:30 AM,2025-02-24 09:30 AM,,"
"
Professional Development for staff No Students,2025-03-03,2025-03-04,,"
"
Spring & Class Pictures,2025-03-11,2025-03-12,,"
"
Spring Break No School,2025-03-17,2025-03-22,,"
"
Q3 Report Cards go home,2025-03-28,2025-03-29,,"
"
Parent Volunteer Monday,2025-03-31 07:30 AM,2025-03-31 09:30 AM,,"
"
Rob Co Job Fair,2025-04-01 01:00 PM,2025-04-01 06:00 PM,"Central Office PD Room (800 MS Couts, Springfield, TN 37172, US)","
"
Crestview Family Block Party,2025-04-10 04:00 PM,2025-04-10 07:00 PM,,"
"
Good Friday No School,2025-04-18,2025-04-19,,"
"
Q4 Progress Reports go home,2025-04-25,2025-04-26,,"
"
Parent Volunteer Monday,2025-04-28 07:30 AM,2025-04-28 09:30 AM,,"
"
Field Days,2025-05-07,2025-05-10,,"
"
1st grade Award Day,2025-05-12 09:00 AM,2025-05-12 10:00 AM,,"
"
2nd grade Awards Day,2025-05-13 09:00 AM,2025-05-13 10:00 AM,,"
"
4th grade Awards Day,2025-05-14 09:00 AM,2025-05-14 10:00 AM,,"
"
3rd grade Awards Day,2025-05-15 09:00 AM,2025-05-15 10:00 AM,,"
"
Kind Awards Day,2025-05-19 09:00 AM,2025-05-19 10:00 AM,,"
"
5th grade Awards day,2025-05-20 09:00 AM,2025-05-20 10:00 AM,,"
"
Half Day Dismissal at 10:45,2025-05-23 10:45 AM,2025-05-23 10:45 AM,,"
"
Hat Day at 10:45,2025-06-15,2025-06-15,,Don't forget to wear your favorite hat to school!"
"
