Event Name,Event Start,Event End,Event Location,Event Description
Admin Day | No Students,2024-08-05,2024-08-06,,"Admin day (6 hours) - No Students
"
1/2 Day for Students | Full day for teachers,2024-08-06,2024-08-07,,"Half day for students (full day for teachers)
"
Labor Day | Schools Closed,2024-09-02,2024-09-03,,"Labor Day - Schools Closed
"
Q1 Progress Reports,2024-09-06,2024-09-07,,"Q1 Progress Reports
"
PD Day (6 Hours) | No Students,2024-09-16,2024-09-17,,"Professional Development Day (6 Hours) - No Students
"
Fall Break | Schools Closed,2024-10-07,2024-10-12,,"Fall Break - Schools Closed
"
Q1 Report Cards,2024-10-18,2024-10-19,,"Q1 Report Cards
"
PD/Admin Day | No Students,2024-11-04,2024-11-05,,"PD/Admin Day (3 hours PD/3 Hours Admin) | No Students
"
Election Day | Schools Closed,2024-11-05,2024-11-06,,"Election Day | Schools Closed
"
Q2 Prog Reports,2024-11-15,2024-11-16,,"Q2 Prog Reports
"
Thanksgiving | Schools Closed,2024-11-27,2024-11-30,,"Thanksgiving | Schools Closed
"
1/2 Day for Students and Staff,2024-12-20,2024-12-21,,"1/2 Day for Students and Staff
"
Winter Break | Schools Closed,2024-12-23,2025-01-04,,"Winter Break | Schools Closed
"
PD/Admin Day | No Students,2025-01-06,2025-01-07,,"Professional Development (3 hours) / Admin Day (3 hours)  | No Students
"
Q2 Report Cards,2025-01-10,2025-01-11,,"Q2 Report Cards
"
RCVS/RCAHS | Winter Graduation Ceremony,2025-01-14 06:00 PM,2025-01-14 07:30 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","Robertson County Virtual School and Robertson County Adult High School is proud to honor our early graduates January 14th at 6:00pm.

Ceremony will be located in the Innovation Academy Theatre.

Please follow your schools social media for information related to weather changes.

"
JBHS | Winter Graduation Ceremony,2025-01-15 06:00 PM,2025-01-15 07:30 PM,"Jo Byrns High School (7025 Highway 41 N, Cedar Hill, TN 37032, United States)","JBHS is proud to honor our early graduates January 15th at 6:00pm.

Please follow your schools social media for information related to weather changes.

"
ERHS | Winter Graduation Ceremony,2025-01-16 06:00 PM,2025-01-16 07:30 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","ERHS is proud to honor our early graduates January 16th at 6:00pm.

Please follow your schools social media for information related to weather changes.


"
SHS | Winter Graduation Ceremony,2025-01-17 06:00 PM,2025-01-17 07:30 PM,"Springfield High School (5240 Highway 76 E, Springfield, TN 37172, United States)","SHS is proud to honor our early graduates January 17th at 6:00pm.

Please follow your schools social media for information related to weather changes.

"
GHS | Winter Graduation Ceremony,2025-01-18 10:00 AM,2025-01-18 11:30 AM,"Greenbrier High School (126 Cuniff Dr, Greenbrier, TN 37073, United States)","GHS is proud to honor our early graduates on January 11th at 10:00am


Please follow your schools social media for information related to weather changes.


"
"MLK, Jr. Day | Schools Closed",2025-01-20,2025-01-21,,"MLK, Jr. Day | Schools Closed
"
WHHHS | Winter Graduation Ceremony,2025-01-21 06:00 PM,2025-01-21 07:30 PM,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","WH Heritage HS is proud to honor our early graduates this Friday night at 6pm in the Theatre.

Doors Open at 5:30pm. No tickets necessary.
Ceremony will begin at 6:00PM.

Please follow your schools social media for information related to weather changes.



"
Q3 Progress Reports,2025-02-07,2025-02-08,,"Q3 Progress Reports
"
Presidents' Day | Schools Closed,2025-02-17,2025-02-18,,"Presidents' Day | Schools Closed
"
PD/Admin Day | No Students,2025-03-03,2025-03-04,,"Professional Development (3 Hours) / Admin Day (3 Hours) | No students
"
Springbreak | Schools Closed,2025-03-17,2025-03-22,,"Springbreak | Schools Closed
"
Q3 Report Cards,2025-03-28,2025-03-29,,"Q3 Report Cards
"
Good Friday | Schools Closed,2025-04-18,2025-04-19,,"Good Friday | Schools Closed
"
