Event Name,Event Start,Event End,Event Location,Event Description
Purchase a Yearbook,2024-10-30,2024-10-31,,"Pre-sale price: $30.00 until November 11.
After November 11, the price will be $35.00.

Please note: Yearbooks can be purchased Monday-Friday.

"
4th Grade Field Trip ,2024-10-30,2024-10-31,,"See Class Dojo for more information.
"
1st Grade Field Trip ,2024-10-31,2024-11-01,,"See Class Dojo for more information.
"
Bike Giveaway,2024-11-01,2024-11-02,,"
"
Picture Retakes,2024-11-07,2024-11-08,,"If your students missed fall pictures, please make sure they get their picture made today so they'll be in the yearbook.
"
Kindergarten Field Trip,2024-11-08,2024-11-09,,"See Class Dojo for more information.
"
Veterans Day Celebration,2024-11-11 08:00 AM,2024-11-11 09:30 AM,,"ERES will honor Veterans during a morning breakfast and school wide program.
"
4-H Club Meetings,2024-11-19,2024-11-20,,"4th and 5th grade only
"
"Thanksgiving Lunch - Pre-K, 1st, 2nd, 4th",2024-11-21,2024-11-22,,"Information, signup form, and schedules to come
"
"Thanksgiving Lunch - Kindergarten, 3rd, 5th",2024-11-22,2024-11-23,,"Information, signup form, and schedules to come
"
Candy Cane Grams ,2024-11-25,2024-11-26,,"Info to come!
"
3rd Grade Field Trip,2024-11-25,2024-11-26,,"See Class Dojo for more information.
"
PTO Meeting,2024-12-03 05:30 PM,2024-12-03 06:30 PM,,"PTO Meeting & Student of the Quarter Recognition
"
"1st Grade Program ""A Holiday Moosical"" and Chorus Concert",2024-12-03 06:30 PM,2024-12-03 07:00 PM,,"
"
Chorus @ Cross Plain Tree Lighting,2024-12-04 06:30 PM,2024-12-04 07:00 PM,,"Come out to see the lighting of the Cross Plains Christmas Tree and hear the ERES Chorus sing. Information can be found on the City of Cross Plains Facebook page.
"
Dress Up Days,2024-12-16,2024-12-17,,"It's the most wonderful time of the year: Wear your favorite holiday shirt.
"
Dress Up Days,2024-12-18,2024-12-19,,"A Long Winter's Nap: Pajama Day!
"
Winter Tribal Council ,2024-12-19,2024-12-20,,"
"
Dress Up Days,2024-12-19,2024-12-20,,"Extravaganza-lorious Scout Elf Day: Dress as an Elf on the Shelf character (ex. red shirt and Santa hat).

"
Class Holiday Parties,2024-12-20,2024-12-21,,"Check Class Dojo or message your child's teacher for more information!
"
Dress Up Days,2024-12-20,2024-12-21,,"Rockin' Around the Christmas Tree: Wear your Ugly Christmas Sweater.
"
Cookie Dough Fundraiser,2025-02-03,2025-02-04,,"
"
5th Grade Farewell Due,2025-02-14,2025-02-15,,"
"
Spring Book Fair ,2025-02-18 08:00 AM,2025-02-18 08:30 AM,,"
"
Parent Teacher Conferences ,2025-02-20 04:00 PM,2025-02-20 07:00 PM,,"Book Fair will be open during Parent-Teacher Conferences.
"
PTO Meeting,2025-02-27 06:00 PM,2025-02-27 06:30 PM,,"Student of the Quarter Recognitions & PTO Meeting
"
Teacher Training Day - No School,2025-03-03,2025-03-04,,"
"
Jump Rope for Heart,2025-03-10,2025-03-15,,"All donations will be collected online! See information sent home from PE coaches and on Class Dojo.
"
5th Grade Field Trip ,2025-03-11,2025-03-12,,"See Class Dojo for more information
"
5th Grade Field Trip,2025-03-12,2025-03-13,,"See Class Dojo for more information.
"
Tribal Council Day,2025-03-14,2025-03-15,,"
"
Honor Chorus,2025-03-27 06:00 PM,2025-03-27 07:30 PM,,"Honor Chorus students only
"
4-H (4th & 5th Grades),2025-03-28,2025-03-29,,"
"
Spring Pictures ,2025-04-01 08:00 AM,2025-04-01 08:30 AM,,"Spring Pictures, Class Pictures, Cap & Gown Picture Retakes
"
2nd Grade Field Trip,2025-04-17,2025-04-18,,"See Class Dojo for more information.
"
1st Grade Field Trip,2025-04-30,2025-05-01,,"See Class Dojo and information sent home for more information!
"
Special Olympics,2025-05-02,2025-05-03,,"
"
Last Day to Check Out Library Books,2025-05-02,2025-05-03,,"
"
Chorus Concert,2025-05-06 06:00 PM,2025-05-06 07:00 PM,,"
"
5th Grade Middle School Tour (Group 1),2025-05-07,2025-05-08,,"This event is for students only!
"
Kingergarten Field Trip,2025-05-08,2025-05-09,,"See ClassDojo and information sent home for more information!
"
5th Grade Middle School Tour (Group 2),2025-05-08,2025-05-09,,"This event is for students only!
"
3rd Grade Field Trip,2025-05-09,2025-05-10,,"See Class Dojo for more information.
"
Field Day,2025-05-13,2025-05-14,,"This event is for students only.
"
4th Grade Field Trip,2025-05-15,2025-05-16,,"See ClassDojo and information sent home for more information.
"
5th Grade Picnic ,2025-05-20,2025-05-21,,"See ClassDojo and information sent home!
"
Tribal Council Day,2025-05-20,2025-05-21,,"
"
5th Grade Walk & Awards ,2025-05-21 01:00 PM,2025-05-21 02:00 PM,,"
"
