Event Name,Event Start,Event End,Event Location,Event Description
HS Football at Jackson County,2024-10-31 07:00 PM,2024-10-31 07:30 PM,,"
"
MS Basketball @ Coopertown Middle,2024-11-04 04:00 PM,2024-11-04 07:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","JV at 4:00, Varsity at 6:00
"
MS Basketball at ERHS vs. Greenbrier Middle [In-person],2024-11-07 04:00 PM,2024-11-07 08:00 PM,,"JV @ 4 and Varsity @ 6
"
MS Wrestling at Greenbrier Middle,2024-11-07 05:00 PM,2024-11-07 06:30 PM,"Greenbrier Middle School (2450 Highway 41 S, Greenbrier, TN 37073, United States)","
"
MS Basketball at WHHHS ,2024-11-11 04:00 PM,2024-11-11 08:00 PM,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","JV @ 4 and Varsity @ 6
"
MS Wrestling vs Harpeth/Dickson [In-person],2024-11-12 05:00 PM,2024-11-12 07:00 PM,,"
"
MS Wrestling vs. Harpeth/Burns at Harpeth,2024-11-14 04:30 PM,2024-11-14 06:30 PM,"Harpeth Middle School (170 Harpeth View Trl, Kingston Springs, TN 37082, United States)","
"
HS Basketball Jamboree @ Heritage TBD,2024-11-16 08:00 AM,2024-11-16 08:30 AM,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","
"
MS Basketball at ERHS vs. Innovation Academy of Robertson County [In-person],2024-11-18 04:30 PM,2024-11-18 08:30 PM,,"JV @ 4:30 and Varsity @ 6
"
MS Wrestling vs Burns/Fairview/Coopertown [In-person],2024-11-19 05:30 PM,2024-11-19 07:30 PM,,"
"
HS Wrestling @ Hendersonville & White House TBD,2024-11-21 08:00 AM,2024-11-21 08:30 AM,"Hendersonville High School (123 Cherokee Rd, Hendersonville, TN 37075, United States)","
"
MS Basketball at Jo Burns,2024-11-21 04:00 PM,2024-11-21 08:00 PM,"Jo Byrns High School (7025 Highway 41 N, Cedar Hill, TN 37032, United States)","JV @ 4 and Varsity @ 6
"
Hall of Champions Week @ Gordonsville,2024-11-23 06:00 PM,2024-11-23 07:30 PM,"Gordonsville High School (110 Main St E, Gordonsville, TN 38563, United States)","
"
MS Wrestling vs. Sycamore/Coopertown at Sycamore,2024-11-25 04:30 PM,2024-11-25 06:30 PM,"Sycamore Middle School (1025 Old Clarksville Pike, Pleasant View, TN 37146, United States)","
"
MS Wrestling vs. Cheatham County/Charlotte DH/HS at CCCHS,2024-11-26 04:30 PM,2024-11-26 06:30 PM,Cheatham County Central High School,"
"
HS Wrestling @ Cheatham County & Creekwood,2024-11-26 04:30 PM,2024-11-26 05:00 PM,,"
"
HS Basketball @ McEwen,2024-11-26 06:00 PM,2024-11-26 07:30 PM,"McEwen High School (335 Melrose St, Mc Ewen, TN 37101, United States)","
"
MS Basketball at Innovation Academy of Robertson County,2024-12-02 04:30 PM,2024-12-02 08:30 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","JV @ 4:30 and Varsity @ 6
"
MS Wrestling vs. Greenbrier/Dickson at Greenbrier,2024-12-02 04:30 PM,2024-12-02 06:30 PM,"Greenbrier Middle School (2450 Highway 41 S, Greenbrier, TN 37073, United States)","
"
HS Wrestling Vs Hunter's Lane & East Nashville,2024-12-03 04:30 PM,2024-12-03 06:30 PM,,"
"
MS Wrestling TMSAA Regional at ERHS [In-person] Time TBD,2024-12-04 04:30 PM,2024-12-04 06:30 PM,,"
"
MS Basketball vs WHHHS at Home [In-person],2024-12-05 04:00 PM,2024-12-05 08:00 PM,,"JV @ 4:00 and Varsity @ 6
"
HS Wrestling @ Harpeth,2024-12-05 04:30 PM,2024-12-05 05:30 PM,"Harpeth Middle School (170 Harpeth View Trl, Kingston Springs, TN 37082, United States)","
"
MS Wrestling vs Harpeth DHw/HS at Harpeth,2024-12-05 04:30 PM,2024-12-05 06:30 PM,"Harpeth Middle School (170 Harpeth View Trl, Kingston Springs, TN 37082, United States)","
"
Mu Alpha Theta Meeting [In-person],2024-12-06 03:00 PM,2024-12-06 04:30 PM,,"
"
HS Basketball @ Clay County,2024-12-06 06:00 PM,2024-12-06 07:30 PM,"Clay County High School (860 Clay County Hwy, Celina, TN 38551, United States)","
"
MS Wrestling TMSAA Section at TBD,2024-12-07 04:30 PM,2024-12-07 06:30 PM,TBD,"
"
MS Basketball vs Coopertown at Home [In-person],2024-12-09 04:00 PM,2024-12-09 08:00 PM,,"JV @ 4:00 and Varsity @ 6
"
MS Wrestling vs. Fairview at Fairview,2024-12-09 05:30 PM,2024-12-09 07:30 PM,"Fairview Middle School (7200 Cumberland Dr, Fairview, TN 37062, United States)","
"
HS JV Basketball Vs Heritage,2024-12-10 03:30 PM,2024-12-10 05:00 PM,,"
"
HS Wrestling @ Liberty Creek & Springfield,2024-12-10 04:30 PM,2024-12-10 06:30 PM,"Liberty Creek High School (100 Wolfpack Way, Gallatin, TN 37066, United States)","
"
HS Basketball Vs. Heritage,2024-12-10 06:00 PM,2024-12-10 07:30 PM,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","
"
HS JV Basketball @ Portland,2024-12-12 03:30 PM,2024-12-12 05:00 PM,"Portland High School (600 College St, Portland, TN 37148, United States)","
"
HS Wrestling Vs. Goodpasture & Heritage,2024-12-12 04:30 PM,2024-12-12 06:30 PM,,"
"
MS Basketball at Macon County (No JV),2024-12-12 06:00 PM,2024-12-12 10:00 PM,Macon County ,"Varsity at 6
"
HS Basketball @ Portland,2024-12-12 06:00 PM,2024-12-12 07:30 PM,"Portland High School (600 College St, Portland, TN 37148, United States)","
"
HS JV Basketball Vs. White House,2024-12-13 03:30 PM,2024-12-13 05:00 PM,,"
"
"HS Wrestling @ Upperman, Polk Co. & Greenback",2024-12-13 05:00 PM,2024-12-13 07:00 PM,"Upperman High School (6950 Nashville Hwy, Baxter, TN 38544, United States)","
"
HS Basketball Vs. White House,2024-12-13 06:00 PM,2024-12-13 07:30 PM,,"
"
HS Freshman Basketball Vs Heritage & Westmoreland,2024-12-14 09:00 AM,2024-12-14 12:00 PM,,"
"
Mu Alpha Theta Winter Gathering and Meeting [In-person],2024-12-16 03:00 PM,2024-12-16 04:30 PM,,"Make sure to RSVP on Teams.
"
MS Basketball at Greenbrier Middle,2024-12-16 04:00 PM,2024-12-16 08:00 PM,"Greenbrier Middle School (2450 Highway 41 S, Greenbrier, TN 37073, United States)","JV @ 4:00 and Varsity @ 6
"
HS Wrestling @ Greenbrier & Watertown,2024-12-17 04:30 PM,2024-12-17 06:30 PM,"Greenbrier High School (126 Cuniff Dr, Greenbrier, TN 37073, United States)","
"
HS Basketball Vs. Pearl-Cohn,2024-12-17 06:00 PM,2024-12-17 07:30 PM,,"
"
HS Wrestling @ Dickson County TBA,2024-12-19 08:00 AM,2024-12-19 08:30 AM,"Creekwood High School (3499 Highway 47 N, Charlotte, TN 37036, United States)","
"
