Event Name,Event Start,Event End,Event Location,Event Description
GES EasyCBM Fluency Assessment,2024-04-30 10:00 AM,2024-04-30 01:00 PM,,"
"
GES 1st grade field trip,2024-05-03,2024-05-04,,"
"
GES 5th Grade--Middle School field trip,2024-05-07 07:30 AM,2024-05-07 11:00 AM,,"
"
GES Kindergarten Field Trip,2024-05-10,2024-05-11,,"
"
 GES AR Reward field trip,2024-05-14,2024-05-15,,"
"
GES Kindergarten Registration Night,2024-05-14 05:00 PM,2024-05-14 06:30 PM,,"
"
GES PTO Meeting,2024-05-14 06:00 PM,2024-05-14 06:30 PM,,"
"
GES 3rd grade field trip,2024-05-16,2024-05-17,,"
"
GES FIELD DAY,2024-05-20,2024-05-21,,"
"
GES 5th Grade Awards,2024-05-21,2024-05-22,,"
"
GES Bobcat Beat Spring Concert- Stage and Screen Gems,2024-05-21 06:00 PM,2024-05-21 07:00 PM,GES Auditorium,"Please join us for Bobcat Beat's final performance of the year: Stage and Screen Gems! We will be performing hit songs from movies and musicals, including The Sound of Music, Matilda The Musical, Mary Poppins, The Muppet Movie, and many more! Come support our hard-working singers and we end the year on a high note!🎵
"
GES Pre-K Celebration,2024-05-22,2024-05-23,,"
"
GES Kindergarten Celebration,2024-05-22,2024-05-23,,"
"
GES Open House,2024-08-05 03:30 PM,2024-08-05 06:30 PM,,"
"
1/2 Day for Students,2024-08-06 06:50 AM,2024-08-06 10:50 AM,,"
"
First Full Day,2024-08-07 06:50 AM,2024-08-07 02:10 PM,,"
"
Kindergarten Boys Attend,2024-08-12 07:50 AM,2024-08-12 01:45 PM,,"
"
Kindergarten Girls Attend School,2024-08-13 07:50 AM,2024-08-13 01:45 PM,,"
"
All Kindergarten Students Will Attend,2024-08-14 07:10 AM,2024-08-14 02:10 PM,,"
"
Progress Reports Sent Home,2024-09-06,2024-09-07,,"
"
Grandparents' Night ,2024-09-09 05:30 PM,2024-09-09 07:00 PM,,"
"
Yearbook Pictures,2024-09-13 08:00 AM,2024-09-13 02:00 PM,,"
"
Parent-Teacher Conferences,2024-09-19 03:30 PM,2024-09-19 06:30 PM,,"
"
Fundraiser Pick-Up,2024-10-17 02:40 PM,2024-10-17 05:00 PM,,"
"
Crazy Sock Day,2024-10-23,2024-10-24,,"
"
Tie Dye Day,2024-10-24,2024-10-25,,"
"
Hat Day,2024-10-25,2024-10-26,,"
"
Superhero Day,2024-10-28,2024-10-29,,"
"
Pajama Day,2024-10-29,2024-10-30,,"
"
Wear Red Day,2024-10-30,2024-10-31,,"
"
Bobcat Beat Veteran's Day Program,2024-11-07 06:00 PM,2024-11-07 06:30 PM,,"
"
Progress Reports Sent Home,2024-11-15,2024-11-16,,"
"
Picture Retake Day,2024-11-15 08:00 AM,2024-11-15 08:30 AM,,"
"
PTO Meeting,2024-11-19 06:00 PM,2024-11-19 06:30 PM,,"
"
$1 What I Want to Be When I Grow Up - Dress-Up Day,2024-11-22 07:00 AM,2024-11-22 03:00 PM,,"
"
Cookies With Claus,2024-12-10 04:00 PM,2024-12-10 07:00 PM,,"
"
Bobcat Beat Holiday Concert,2024-12-12 06:00 PM,2024-12-12 06:30 PM,,"
"
1/2 Day & Holiday Parties,2024-12-20 07:00 AM,2024-12-20 10:40 AM,,"
"
Book Fair,2025-02-07 07:30 AM,2025-02-07 02:00 PM,,"
"
Book Fair,2025-02-10 07:30 AM,2025-02-10 02:00 PM,,"
"
Book Fair,2025-02-11 07:30 AM,2025-02-11 02:00 PM,,"
"
Book Fair,2025-02-12 07:30 AM,2025-02-12 02:00 PM,,"
"
Book Fair ,2025-02-13 07:30 AM,2025-02-13 02:00 PM,,"
"
Last Day to Pre-Order Yearbooks,2025-02-14 07:30 AM,2025-02-14 02:00 PM,,"
"
Book Fair,2025-02-14 07:30 AM,2025-02-14 02:00 PM,,"
"
Parent-Teacher Conference,2025-02-20 03:00 PM,2025-02-20 06:00 PM,,"
"
Night of the Arts,2025-03-06 05:30 PM,2025-03-06 07:00 PM,,"
"
PTO Meeting,2025-03-11 06:00 PM,2025-03-11 07:00 PM,,"
"
Father Daughter Dance,2025-03-25,2025-03-26,,"
"
$1 Hat Day - Buddy Reading,2025-03-28,2025-03-29,,"
"
Class Pictures and K Pictures,2025-04-09 07:30 AM,2025-04-09 01:30 PM,,"
"
TCAP,2025-04-15 07:30 AM,2025-04-15 01:30 PM,,"
"
Bobcat Beat Spring Concert,2025-05-01 06:00 PM,2025-05-01 06:30 PM,,"
"
Field Night - Parent Event,2025-05-05 06:00 PM,2025-05-05 07:00 PM,,"More information to come.
"
Field Day,2025-05-06 07:00 AM,2025-05-06 02:00 PM,,"
"
