Event Name,Event Start,Event End,Event Location,Event Description
New Student Registration,2024-07-30 12:00 PM,2024-07-30 07:00 PM,,"If any family is having trouble registering students, you are welcome to come in on July 30 from 12-7 or July 31 from 8-3.  You don't have to be a new student if you need assistance.  Phone calls are welcome, too.
"
New Student Registration,2024-07-31 08:00 AM,2024-07-31 03:00 PM,,"If any family is having trouble registering students, you are welcome to come in on July 30 from 12-7 or July 31 from 8-3.  You don't have to be a new student if you need assistance.  Phone calls are welcome, too.
"
Election Day-No School,2024-08-01 07:00 AM,2024-08-01 07:00 PM,,"
"
Senior Pictures/Retakes,2024-08-02,2024-08-03,,"
"
Admin Day,2024-08-05 08:00 AM,2024-08-05 03:00 PM,,"
"
Student 1/2 Day,2024-08-06 08:00 AM,2024-08-06 11:30 AM,,"Students will begin their day with their CAT (Homeroom) teacher and will meet all of their teachers for all of their fall classes. Freshmen will meet their CAT Teacher in the theater. Signs will be posted to help students know where to go and teachers will be available to help guide students if needed.
"
GHS Open House,2024-08-06 03:30 PM,2024-08-06 06:30 PM,,"
"
First Full Day for Students,2024-08-07 08:00 AM,2024-08-07 03:00 PM,,"
"
School Board Meeting,2024-08-12 06:30 PM,2024-08-12 08:30 PM,,"
"
Mock Crash,2024-08-14 09:00 AM,2024-08-14 10:15 AM,,"
"
Faculty Meeting,2024-08-14 03:15 PM,2024-08-14 04:00 PM,,"
"
School Picture Day for Underclassmen,2024-08-20,2024-08-21,,"
"
Fall Picture Day for Underclassmen,2024-08-21,2024-08-22,,"
"
Faculty Meeting,2024-08-28 03:15 PM,2024-08-28 04:00 PM,,"
"
Labor Day-No School,2024-09-02,2024-09-03,,"
"
Progress Report Day,2024-09-06,2024-09-07,,"
"
ACT Prep,2024-09-07 09:00 AM,2024-09-07 01:00 PM,,"
"
Faculty Meeting,2024-09-11 03:15 PM,2024-09-11 04:00 PM,,"
"
Junior Meeting-Class Rings,2024-09-12 09:30 AM,2024-09-12 10:00 AM,,"
"
Senior Meeting-Graduation Announcements,2024-09-13 09:30 AM,2024-09-13 10:00 AM,,"
"
Hispanic Heritage Month Begins,2024-09-15,2024-09-16,,"
"
Teacher Professional Development Day,2024-09-16,2024-09-17,,"
"
College and Career Fair,2024-09-18 05:00 PM,2024-09-18 07:00 PM,,"
"
Parent Teacher Conferences,2024-09-19 03:30 PM,2024-09-19 06:30 PM,,"
"
GHS PTO Meeting,2024-09-23 06:30 PM,2024-09-23 08:30 PM,,"
"
Fall Picture Retake ,2024-09-25,2024-09-26,,"
"
Faculty Meeting,2024-09-25 03:15 PM,2024-09-25 04:00 PM,,"
"
Senior Class Ring and Graduation Orders,2024-09-26 11:30 AM,2024-09-26 01:30 PM,,"
"
National Custodian Day,2024-10-02,2024-10-03,,"
"
Third and Fourth Block Exams,2024-10-03 11:30 AM,2024-10-03 03:00 PM,,"
"
First & Second Block Exams,2024-10-04 08:00 AM,2024-10-04 11:30 AM,,"
"
Fall Break,2024-10-07,2024-10-12,,"
"
ACT Prep,2024-10-12 09:00 AM,2024-10-12 01:00 PM,,"
"
ACT Day for Seniors,2024-10-15,2024-10-16,,"
"
DECA Field Trip,2024-10-18,2024-10-19,,"
"
Senior Superlative Field Trip,2024-10-18,2024-10-19,,"
"
Red Ribbon Week,2024-10-23,2024-11-01,,"
"
ACT Test Day,2024-10-26,2024-10-27,,"
"
PD/Admin Day (No Students),2024-11-04,2024-11-05,,"
"
School Board Meeting,2024-11-04 06:30 PM,2024-11-04 08:30 PM,,"
"
Election Day-No School,2024-11-05,2024-11-06,,"
"
National STEM & STEAM Day,2024-11-08,2024-11-09,,"
"
People's Choice Night ,2024-11-14 06:00 PM,2024-11-14 07:30 PM,,"
"
Progress Report Day,2024-11-15,2024-11-16,,"
"
Education Supports Professionals Day,2024-11-20,2024-11-21,,"
"
Stashed Away Display,2024-11-20 10:00 AM,2024-11-20 06:00 PM,,"
"
Substitute Educators Day,2024-11-22,2024-11-23,,"
"
Thanksgiving Holiday-No School,2024-11-27,2024-11-30,,"
"
Special Education Day,2024-12-02,2024-12-03,,"
"
EOCs,2024-12-03,2024-12-07,,"
"
International Day of People with Disabilities,2024-12-03,2024-12-04,,"
"
Choir Performance,2024-12-04 01:30 PM,2024-12-04 02:00 PM,,"
"
ACT Prep,2024-12-07 09:00 AM,2024-12-07 01:00 PM,,"
"
EOCs,2024-12-09,2024-12-14,,"
"
School Board Mtg. ,2024-12-09 06:30 PM,2024-12-09 08:30 PM,,"
"
TN Promise Meeting,2024-12-10 09:00 AM,2024-12-10 10:00 AM,,"
"
Fine Arts Night,2024-12-12 06:00 PM,2024-12-12 08:00 PM,,"
"
ACT Test Day,2024-12-14,2024-12-15,,"
"
3rd and 4th Block Final Exams,2024-12-18,2024-12-19,,"
"
1st and 2nd Block Final Exams,2024-12-19,2024-12-20,,"
"
Wrestling @ SHS-Bruise Brothers Brawl,2024-12-21 07:00 AM,2024-12-21 02:00 PM,,"
"
Winter Break-No School,2024-12-23,2025-01-04,,"
"
PD/Admin Day-No Students,2025-01-06,2025-01-07,,"
"
Report Cards Go Home,2025-01-10,2025-01-11,,"
"
Graduation Practice,2025-01-10 09:00 AM,2025-01-10 09:30 AM,,"
"
Honorary Diplomas,2025-01-10 09:30 AM,2025-01-10 10:00 AM,,"
"
Robotics Competition at Trevecca,2025-01-11,2025-01-12,,"
"
Winter Graduation,2025-01-11 10:00 AM,2025-01-11 11:00 AM,,"
"
Coming Home Pep Rally,2025-01-24 09:30 AM,2025-01-24 10:00 AM,,"
"
Freshmen Prep Night,2025-01-30 05:00 PM,2025-01-30 07:00 PM,,"
"
