Event Name,Event Start,Event End,Event Location,Event Description
Open Registration,2024-07-30 12:00 PM,2024-07-30 07:00 PM,"Greenbrier Middle School (2450 Highway 41 S, Greenbrier, TN 37073, United States)","
"
GMS Open House,2024-08-02 03:30 PM,2024-08-02 06:30 PM,,"
"
1/2 Day for Students,2024-08-06 07:55 AM,2024-08-06 11:25 AM,,"
"
Fall Pictures,2024-08-28,2024-08-29,,"
"
Labor Day - No School,2024-09-02,2024-09-03,,"
"
Progress Reports ,2024-09-06,2024-09-07,,"
"
GMS Parent-Teacher Conferences,2024-09-11 03:30 PM,2024-09-11 06:30 PM,,"
"
No School - Professional Development Day for Teachers,2024-09-16,2024-09-17,,"
"
Fall Break - No School,2024-10-07,2024-10-12,,"
"
Report Cards,2024-10-18,2024-10-19,,"
"
No School - Professional Development Day for Teachers,2024-11-04,2024-11-05,,"
"
No School - Election Day,2024-11-05,2024-11-06,,"
"
Progress Reports,2024-11-15,2024-11-16,,"
"
Thanksgiving Break - No School,2024-11-27,2024-11-30,,"
"
1/2 Day for Students,2024-12-20 07:55 AM,2024-12-20 11:25 AM,,"
"
Winter Break - No School,2024-12-23,2025-01-04,,"
"
No School - Professional Development Day for Teachers,2025-01-06,2025-01-07,,"
"
Report Cards,2025-01-10,2025-01-11,,"
"
MLK Jr. Day  - No School,2025-01-20,2025-01-21,,"
"
Progress Reports,2025-02-07,2025-02-08,,"
"
Presidents' Day - No School,2025-02-17,2025-02-18,,"
"
No School - Professional Development Day for Teachers,2025-03-03,2025-03-04,,"
"
Spring Break - No School,2025-03-17,2025-03-22,,"
"
Report Cards,2025-03-28,2025-03-29,,"
"
Good Friday - No School,2025-04-18,2025-04-19,,"
"
Progress Reports,2025-04-25,2025-04-26,,"
"
1/2 Day - Report Card Day,2025-05-23 07:30 AM,2025-05-23 11:25 AM,,"
"
