Event Name,Event Start,Event End,Event Location,Event Description
Registration,2024-07-29 08:00 AM,2024-07-29 03:00 PM,,"
"
STEAM CAMP,2024-07-29 08:30 AM,2024-07-30 11:30 AM,,"
"
Registration,2024-07-31 12:00 PM,2024-07-31 07:00 PM,,"
"
Senior Night,2024-08-01 05:00 PM,2024-08-01 07:00 PM,,"
"
Open House,2024-08-05 03:30 PM,2024-08-05 06:30 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","
"
Parent Teacher Conferences,2024-09-10 04:00 PM,2024-09-10 07:00 PM,,"
"
FAFSA Meeting-auditorium,2024-09-10 04:30 PM,2024-09-10 06:30 PM,,"
"
Fall Band Concert and Bake Sale,2024-09-19 06:00 PM,2024-09-19 07:00 PM,,"Rehearsals in Gym

11:30am - High School Band
1:30pm - 7th and 8th Grade Band
2:30pm - 6th Grade Band

Concert Begins @ 6:00pm
"
6-11 Fall Pictures,2024-09-27,2024-09-28,,"
"
Fall Choir Concert,2024-10-01 06:00 PM,2024-10-01 08:00 PM,,"
"
Fall sport pictures,2024-10-02,2024-10-03,,"
"
HS Testing- All HS Scholars,2024-10-16,2024-10-17,,"ACT-12th  grade
ASVAB-11th grade
Analyze Ed-10th grade
Paper ACT-9th grade

"
Red Ribbon Week- Wear Red,2024-10-23,2024-10-24,,"
"
Red Ribbon Week- Camo Day,2024-10-24,2024-10-25,,"
"
Red Ribbon Week- Sports Attire,2024-10-25,2024-10-26,,"
"
Red Ribbon Week- Country Attire,2024-10-28,2024-10-29,,"
"
Red Ribbon Week- Wear Crazy Hair & Socks,2024-10-29,2024-10-30,,"
"
Choir Concert,2024-10-29 06:00 PM,2024-10-29 06:30 PM,,"
"
Red Ribbon Week- Halloween Costumes (no face coverings),2024-10-30,2024-10-31,,"
"
Veterans Day Program,2024-11-11 02:00 PM,2024-11-11 03:00 PM,Auditorium,"High School Band/Choir Veterans Day Program
"
Picture Retakes/Club/Winter Sports (6-11),2024-11-14 08:00 AM,2024-11-14 08:30 AM,,"
"
Beta Convention,2024-11-25,2024-11-30,,"
"
Seniors- Mandatory TN Promise Meeting,2024-12-10 03:55 PM,2024-12-10 04:55 PM,"Springfield High School (5240 Highway 76 E, Springfield, TN 37172, United States)","Scholars must attend to be eligible for the TN Promise. Contact zachary.saberton@rcstn.net with questions.
"
Choir Concert,2024-12-10 06:00 PM,2024-12-10 08:00 PM,,"
"
IA Talent Show,2024-12-16 06:00 PM,2024-12-16 07:30 PM,,"
"
Band Concert ,2024-12-17 06:00 PM,2024-12-17 08:00 PM,,"
"
Snowball Dance 6-12,2025-01-11 06:00 PM,2025-01-11 09:00 PM,,"
"
Innovation Academy Lottery,2025-01-15 08:30 AM,2025-01-15 09:30 AM,"Robertson County Schools (800 Ms Couts Blvd, Springfield, TN 37172, United States)","
"
Incoming Freshman-informational meeting,2025-01-27 06:00 PM,2025-01-27 07:30 PM,,"
"
6th Grade Open House,2025-01-28 05:00 PM,2025-01-28 07:00 PM,,"
"
IA PTO Meeting,2025-02-04 06:00 PM,2025-02-04 07:00 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","
"
Vol State info meeting,2025-02-05 05:30 PM,2025-02-05 06:00 PM,,"
"
Parent Teacher Conferences,2025-02-11 04:00 PM,2025-02-11 07:00 PM,,"
"
MTVA-HS Choir,2025-02-25,2025-02-26,,"
"
3rd & 4th Midterms,2025-03-13,2025-03-14,,"
"
1st & 2nd Midterms,2025-03-14,2025-03-15,,"
"
Senior Trip Info Meeting in Library,2025-03-24 06:00 PM,2025-03-24 06:30 PM,,"
"
Sr. Field Trip,2025-03-25,2025-03-26,,"
"
ACT,2025-03-25,2025-03-26,,"
"
EOC ELA Subpart 1,2025-04-15,2025-04-16,,"
"
TCAP ELA Subpart 1,2025-04-15,2025-04-16,,"
"
EOC ELA Subpart 2,2025-04-16,2025-04-17,,"
"
TCAP ELA Subpart 2 & 3,2025-04-16,2025-04-17,,"
"
EOC ELA Subpart 3,2025-04-17,2025-04-18,,"
"
TCAP ELA Subpart 4,2025-04-17,2025-04-18,,"
"
EOC Math Subpart 1,2025-04-22,2025-04-23,,"
"
TCAP Math Subpart 1,2025-04-22,2025-04-23,,"
"
EOC Math Subpart 2,2025-04-23,2025-04-24,,"
"
TCAP Math Subpart 2,2025-04-23,2025-04-24,,"
"
EOC Math Subpart 3,2025-04-24,2025-04-25,,"
"
TCAP Math Subpart 3,2025-04-24,2025-04-25,,"
"
Epic Players Performance: High School Musical,2025-04-25 07:00 PM,2025-04-25 09:00 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","
"
Epic Players Performance: High School Musical,2025-04-26 02:00 PM,2025-04-26 04:00 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","
"
Epic Players Performance: High School Musical,2025-04-26 07:00 PM,2025-04-26 09:00 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","
"
EOC Biology,2025-04-29,2025-04-30,,"
"
TCAP Science Subpart 1 & 2,2025-04-29,2025-04-30,,"
"
EOC US History Subpart 1,2025-04-30,2025-05-01,,"
"
TCAP Social Studies Subparts 1 & 2,2025-04-30,2025-05-01,,"
"
EOC US History Subpart 1,2025-05-01,2025-05-02,,"
"
Prom,2025-05-03,2025-05-04,"Austin Peay State University (601 College St, Clarksville, TN 37044, United States)","
"
HS Awards 9th-11th,2025-05-05 06:00 PM,2025-05-05 06:30 PM,,"
"
AP Human Geography/AP Chemistry Exam,2025-05-06,2025-05-07,,"
"
Senior Awards,2025-05-06 06:00 PM,2025-05-06 06:30 PM,,"
"
AP Literature Exam,2025-05-07,2025-05-08,,"
"
Senior Exams- 3rd & 4th Block,2025-05-08,2025-05-09,,"
"
Sounds of Spring Art Exhibit and Band Concert,2025-05-08 05:00 PM,2025-05-08 07:00 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","Art Exhibit 5:00 PM in the IA Gymnasium.
Band Concert 6:00 PM in the IA Auditorium.
Auditorium doors will open to the public at 5:45 PM

"
AP US History Exam,2025-05-09,2025-05-10,,"
"
Senior Exams- 1st & 2nd Block,2025-05-09,2025-05-10,,"
"
Senior Walk,2025-05-09 11:00 AM,2025-05-09 12:00 PM,,"
"
Choir Concert,2025-05-13 06:00 PM,2025-05-13 08:00 PM,Auditorium,"
"
AP Language/Composition Exam,2025-05-14,2025-05-15,,"
"
Baccalaureate Service,2025-05-18 04:00 PM,2025-05-18 05:00 PM,"Springfield Baptist Church (400 N Main St, Springfield, TN 37172, United States)","
"
AP Human Geography Exam (Alternate Date),2025-05-19,2025-05-20,,"Alternate AP Exam date for scholars also taking AP Chemistry Exam on May 6
"
8th Grade laptop returns,2025-05-19,2025-05-20,,"
"
Senior Breakfast,2025-05-19 08:00 AM,2025-05-19 08:30 AM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","
"
Graduation Practice (Mandatory for Seniors),2025-05-19 09:30 AM,2025-05-19 10:00 AM,,"
"
Senior Sunset,2025-05-19 07:00 PM,2025-05-19 07:30 PM,,"
"
7th grade laptop returns,2025-05-20,2025-05-21,,"
"
HS Exams 3/4 Blocks,2025-05-20 12:00 PM,2025-05-20 03:00 PM,,"
"
Graduation,2025-05-20 07:00 PM,2025-05-20 09:00 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","
"
HS laptop returns,2025-05-21,2025-05-22,,"
"
6th grade laptop returns,2025-05-21,2025-05-22,,"
"
HS Exams 1/2 Blocks,2025-05-21 08:00 AM,2025-05-21 12:00 PM,,"
"
HS laptop returns,2025-05-22,2025-05-23,,"
"
HS Exam Makeups,2025-05-22 08:00 AM,2025-05-22 08:30 AM,,"
"
MS Awards Day,2025-05-22 09:00 AM,2025-05-22 12:30 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","Ceremony in IA Auditorium
6th grade - 9:00
8th grade - 10:15
7th grade - 11:30

"
STEAM Camp,2025-07-28 08:30 AM,2025-07-29 11:30 AM,,"Incoming 6th Graders for the 25-26 School Year
"
Registration,2025-07-29 08:00 AM,2025-07-29 03:00 PM,,"
"
Senior Orientation-Auditorium/Gym,2025-07-31 05:00 PM,2025-07-31 07:00 PM,,"
"
Open House,2025-08-05 03:30 PM,2025-08-05 06:30 PM,,"
"
Pep Rally off the Square,2025-08-07 05:30 PM,2025-08-07 08:30 PM,,"
"
Innovation Academy Band Parent Meeting [In-person],2025-08-12 06:30 PM,2025-08-12 07:30 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","Meeting in IA Auditorium
"
Band Concert,2025-09-30 06:00 PM,2025-09-30 08:00 PM,Auditorium,"
"
Band Concert,2025-12-04 06:00 PM,2025-12-04 08:00 PM,Auditorium,"
"
