Event Name,Event Start,Event End,Event Location,Event Description
MS VB vs. HMS,2024-08-19 04:30 PM,2024-08-19 06:30 PM,,"
"
HS VB vs. Smith ,2024-08-19 06:30 PM,2024-08-19 08:30 PM,,"
"
Jr. Beta Meeting-Library,2024-08-20 03:30 PM,2024-08-20 04:30 PM,,"
"
HS VB vs. JBHS,2024-08-20 05:00 PM,2024-08-20 07:00 PM,,"
"
MS VB vs. GMS,2024-08-21 04:30 PM,2024-08-21 06:30 PM,,"
"
MS FB@CMS,2024-08-22 06:00 PM,2024-08-22 08:00 PM,,"
"
Cross Country @ Hendersonville,2024-08-23 08:00 AM,2024-08-23 09:00 AM,,"
"
HS FB vs. KIPP,2024-08-23 07:00 PM,2024-08-23 09:30 PM,,"
"
High School Volleyball Tournament @Portland ,2024-08-24 08:00 AM,2024-08-24 08:30 AM,,"
"
Middle School Softball Try outs [In-person],2024-08-24 04:30 PM,2024-08-24 06:30 PM,,"Legion Field
"
MS VB vs. CMS,2024-08-26 04:30 PM,2024-08-26 06:30 PM,,"
"
HS VB vs. MJCA,2024-08-26 06:30 PM,2024-08-26 08:30 PM,,"
"
MS VB vs. ERMS,2024-08-28 04:30 PM,2024-08-28 06:30 PM,,"
"
MS Homecoming Week- Neon Day,2024-08-29,2024-08-30,,"
"
MS FB vs. WHHMS,2024-08-29 06:00 PM,2024-08-29 08:00 PM,,"
"
HS Florida Trip Information Meeting,2024-08-29 06:00 PM,2024-08-29 06:30 PM,,"
"
MS Homecoming Week- Athletes vs. Mathletes,2024-08-30,2024-08-31,,"
"
HS FB vs. NCS,2024-08-30 07:00 PM,2024-08-30 09:30 PM,,"
"
Cross Country @Greenhills,2024-08-31 08:00 AM,2024-08-31 09:00 AM,,"
"
MS Homecoming Week- Heroes vs. Villains,2024-09-03,2024-09-04,,"
"
Jr. Beta Meeting- Library,2024-09-03 03:30 PM,2024-09-03 04:30 PM,,"
"
HS VB @JBHS,2024-09-03 05:00 PM,2024-09-03 07:00 PM,,"
"
"MS Homecoming Week- ""S"" Day (dress like anything that begins with the letter S)",2024-09-04,2024-09-05,,"
"
MS VB @JBMS,2024-09-04 04:30 PM,2024-09-04 06:30 PM,,"
"
"MS Homecoming Week- Color wars (6th white, 7th gold, 8th navy)",2024-09-05,2024-09-06,,"
"
8th Grade Recognition,2024-09-05 04:30 PM,2024-09-05 05:00 PM,,"
"
MS FB vs. JBMS,2024-09-05 05:00 PM,2024-09-05 05:30 PM,,"
"
HS VB vs. LEAD,2024-09-05 05:30 PM,2024-09-05 07:30 PM,,"
"
HS FB @Grace,2024-09-06 07:00 PM,2024-09-06 09:30 PM,,"
"
Robotics Pop up Tournament-Brentwood Academy,2024-09-07,2024-09-08,,"
"
Civics Voter Registration Drive & Fundraiser- IA parking lot,2024-09-07 09:00 AM,2024-09-07 03:00 PM,,"
"
HS Homecoming- Bedtime Stories,2024-09-09,2024-09-10,,"
"
MS VB @HMS,2024-09-09 04:30 PM,2024-09-09 06:30 PM,,"
"
HS VB @Smith,2024-09-09 05:00 PM,2024-09-09 07:00 PM,,"
"
HS Homecoming- Character Day,2024-09-10,2024-09-11,,"
"
HS Homecoming- Peasants vs Prince/Princess,2024-09-11,2024-09-12,,"
"
HS VB vs. ERHS,2024-09-11 05:00 PM,2024-09-11 07:00 PM,,"
"
HS Homecoming- Color Wars,2024-09-12,2024-09-13,,"
"
MS FB @GMS,2024-09-12 06:00 PM,2024-09-12 08:00 PM,,"
"
HS Homecoming- Sentinel Spirit Day,2024-09-13,2024-09-14,,"
"
HS FB vs. MASEHS,2024-09-13 07:00 PM,2024-09-13 09:00 PM,,"
"
XC Championship @ Kilgore Park,2024-09-14 08:00 AM,2024-09-14 09:00 AM,,"
"
MS VB Conf Tourney @IA,2024-09-16,2024-09-19,,"Hosted by IA
"
HS VB @ Westmoreland ,2024-09-17 05:00 PM,2024-09-17 07:00 PM,,"
"
Senior Recognition ,2024-09-20 05:00 PM,2024-09-20 05:30 PM,,"
"
HS FB vs. Bradley Central,2024-09-20 07:00 PM,2024-09-20 09:00 PM,,"
"
HS VB vs. Westmoreland,2024-09-23 05:00 PM,2024-09-23 07:00 PM,,"
"
HS VB @ERHS,2024-09-24 05:00 PM,2024-09-24 07:00 PM,,"
"
HS VB Senior Night,2024-09-26 04:00 PM,2024-09-26 04:30 PM,,"
"
HS VB vs. THS,2024-09-26 05:00 PM,2024-09-26 07:00 PM,,"
"
HS FB@ South Pitt,2024-09-27 07:00 PM,2024-09-27 09:00 PM,,"
"
HS VB @THS,2024-10-01 05:00 PM,2024-10-01 07:00 PM,,"
"
HS FB @Brentwood,2024-10-04 07:00 PM,2024-10-04 09:00 PM,,"
"
HS VB DISTRICT TOURNAMENT ,2024-10-07,2024-10-12,,"
"
High School Football @Westbrook ,2024-10-11 07:00 PM,2024-10-11 07:30 PM,,"
"
HS volleyball TSIAA tournament,2024-10-12,2024-10-13,,"
"
Robotics @Jackson State Community College ,2024-10-12,2024-10-13,,"
"
HS VB Regionals,2024-10-14 08:00 AM,2024-10-16 08:30 AM,,"
"
HS VB Sectionals,2024-10-17,2024-10-20,,"
"
HS VB State Tournament ,2024-10-22 08:00 AM,2024-10-25 08:30 AM,,"
"
BB Jamboree @WHHMS,2024-10-24 08:00 AM,2024-10-24 08:30 AM,,"
"
Jr. Beta Meeting,2024-10-24 03:30 PM,2024-10-24 04:30 PM,,"
"
 MS Basketball Preseason Jamboree @ WHHHS,2024-10-24 04:30 PM,2024-10-24 07:30 PM,,"JV Girls 4:30, JV Boys After
Varsity Girls 6:00, Varsity Boys After

"
HS FB vs. SPA,2024-10-25 07:00 PM,2024-10-25 09:30 PM,,"
"
Robotics @Brentwood Academy,2024-10-26,2024-10-27,,"
"
MS Wrestling @Charlotte/Cheatham Co.,2024-10-29 05:00 PM,2024-10-29 07:00 PM,,"
"
MS Wrestling vs. ERMS/GMS (@CMS),2024-11-01 04:30 PM,2024-11-01 06:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
MS Basketball Vs. White House Heritage,2024-11-07 04:30 PM,2024-11-07 07:30 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","JV Girls 4:30, JV Boys After
Varsity Girls 6:00, Varsity Boys After

"
MS Wrestling vs. Dickson/Harpeth (@CMS),2024-11-07 05:00 PM,2024-11-07 07:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Robotics @White House-Tournament,2024-11-09,2024-11-10,,"
"
MS Basketball @ CMS,2024-11-11 04:30 PM,2024-11-11 07:30 PM,,"JV Girls 4:30, JV Boys After
Varsity Girls 6:00, Varsity Boys After

"
MS Wrestling vs. Sycamore/Cheatham (@CMS),2024-11-12 04:00 PM,2024-11-12 06:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
MS Basketball Vs. GMS,2024-11-14 04:30 PM,2024-11-14 07:30 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","JV Girls 4:30, JV Boys After
Varsity Girls 6:00, Varsity Boys After

"
