Event Name,Event Start,Event End,Event Location,Event Description
Canned food drive begins!,2024-11-11,2024-11-12,,"
"
4H Meeting,2024-11-12,2024-11-13,,"4th and 5th Grade Meetings
"
Class Pictures and Retakes,2024-11-14,2024-11-15,,"
"
Progress Reports,2024-11-15,2024-11-16,,"
"
PTO Meeting,2024-11-21 05:30 PM,2024-11-21 06:30 PM,,"
"
Canned Food Drive Ends,2024-11-22,2024-11-23,,"
"
Kona Ice and Family Friday for Students,2024-11-22 08:00 AM,2024-11-22 08:30 AM,,"
"
Thanksgiving Break,2024-11-27,2024-11-30,,"
"
PTO Meeting,2024-12-17 05:30 PM,2024-12-17 06:30 PM,,"
"
Kona Ice,2024-12-19 08:00 AM,2024-12-19 08:30 AM,,"
"
PTO Meeting,2025-01-09 05:30 PM,2025-01-09 06:30 PM,,"
"
4H Meetings,2025-02-04,2025-02-05,,"4th and 5th grade meetings
"
Sweetheart Dance ,2025-02-07 05:00 PM,2025-02-07 07:00 PM,,"$10 Per family
"
PTO Meeting,2025-02-13 05:00 PM,2025-02-13 06:00 PM,,"
"
PTO Penny Wars!,2025-03-10,2025-03-15,,"
"
PTO Meeting,2025-03-27 05:00 PM,2025-03-27 06:00 PM,,"
"
Report Cards,2025-03-28,2025-03-29,,"
"
Kona Ice,2025-03-28,2025-03-29,,"
"
Spring Picture Day,2025-03-31,2025-04-01,,"
"
4H Meetings,2025-04-08,2025-04-09,,"4th and 5th grade meetings
"
PTO Meeting,2025-04-10 05:00 PM,2025-04-10 06:00 PM,,"
"
PTO Meeting,2025-05-13 05:00 PM,2025-05-13 06:00 PM,,"
"
