Event Name,Event Start,Event End,Event Location,Event Description
Progress Reports,2024-11-15,2024-11-16,,"
"
HS Final Exams 3rd & 4th block,2024-12-18,2024-12-19,,"
"
HS Final Exams 1st & 2nd block,2024-12-19,2024-12-20,,"
"
1/2 day- HS Makeup Exams,2024-12-20 08:00 AM,2024-12-20 11:00 AM,,"
"
Report Cards,2025-01-10,2025-01-11,,"
"
Progress Reports,2025-02-07,2025-02-08,,"
"
HS Mid-Terms 3rd & 4th block,2025-03-13,2025-03-14,,"
"
HS Mid-Terms 1st & 2nd block,2025-03-14,2025-03-15,,"
"
Junior ACT,2025-03-25 08:00 AM,2025-03-25 12:30 PM,,"
"
Report Cards,2025-03-28,2025-03-29,,"
"
Progress Reports,2025-04-25,2025-04-26,,"
"
"Prom at ""Events at Tranquility""",2025-05-03 07:00 PM,2025-05-03 10:00 PM,,"
"
Senior Final Exams 3rd & 4th block,2025-05-08,2025-05-09,,"
"
Senior Final Exams 1st & 2nd block,2025-05-09,2025-05-10,,"
"
HS Final Exams 3rd & 4th block,2025-05-20,2025-05-21,,"
"
HS Final Exams 1st & 2nd block,2025-05-21,2025-05-22,,"
"
HS Makeup Exams,2025-05-22,2025-05-23,,"
"
1/2 Day Report Cards,2025-05-23 08:00 AM,2025-05-23 11:00 AM,,"
"
Open House ,2025-08-05 03:30 PM,2025-08-05 08:00 PM,,"
"
District PD All day - No students,2025-09-15,2025-09-16,,"
"
6-8 Benchmark Testing,2025-09-29,2025-10-04,,"
"
ACT Retake for Seniors,2025-09-30 08:00 AM,2025-09-30 08:30 AM,,"
"
Election Day - No School,2025-10-07,2025-10-08,,"
"
Unified Club,2025-10-08 11:00 AM,2025-10-08 11:30 AM,,"
"
3-4 Block Exams 9-12Grade,2025-10-09,2025-10-10,,"
"
HOSA,2025-10-09 11:00 AM,2025-10-09 11:30 AM,,"
"
1-2Block Exams 9-12 Grade,2025-10-10,2025-10-11,,"
"
Quarter 1 ends,2025-10-10,2025-10-11,,"
"
Art Club,2025-10-10 11:00 AM,2025-10-10 11:30 AM,,"
"
Fall Break ,2025-10-13,2025-10-18,,"
"
Quarter 2 Starts,2025-10-20,2025-10-21,,"
"
1st Quarter Report Cards,2025-10-24,2025-10-25,,"
"
EOC Benchmark testing,2025-10-27,2025-11-01,,"
"
PD day - No Students,2025-11-03,2025-11-04,,"
"
Parent Teacher Conferences,2025-11-04 11:00 AM,2025-11-04 07:00 PM,,"
"
Sr Beta Club meeting ,2025-11-06 11:00 AM,2025-11-06 11:30 AM,,"
"
2nd Quarter Progress Reports,2025-11-14,2025-11-15,,"
"
Key Club,2025-11-19 11:00 AM,2025-11-19 11:30 AM,,"
"
History Club,2025-11-20 11:00 AM,2025-11-20 11:30 AM,,"
"
Thanksgiving Break,2025-11-26,2025-11-29,,"
"
EOC Testing,2025-12-01,2025-12-19,,"
"
Election Day - No School,2025-12-02,2025-12-03,,"
"
6-8 Grade Benchmark Testing ,2025-12-08,2025-12-12,,"
"
3-4 B Block Final Exams 9-12 Grade,2025-12-17,2025-12-18,,"
"
1-2 Block Final exams 9-12 Grade,2025-12-18,2025-12-19,,"
"
1/2 Day for both students and teachers,2025-12-19,2025-12-20,,"
"
Winter Break,2025-12-22,2026-01-03,,"
"
