Event Name,Event Start,Event End,Event Location,Event Description
Fall Break,2024-10-07,2024-10-12,,"
"
Quarter 1 Reward Party,2024-10-18 12:30 PM,2024-10-18 01:00 PM,,"Our Quarter 1 reward party for students will be held today. Enjoy the reward!
"
Kindergarten Field Trip,2024-10-24,2024-10-25,,"Kindergarteners will have an opportunity to be great ambassadors for KES. They will have an amazing time on their field trip.
"
3rd Grade Field Trip,2024-10-25,2024-10-26,,"3rd Grade students will have an opportunity to be ambassadors for KES. They will have so much fun on their field trip.
"
Red Ribbon Week,2024-10-28,2024-10-29,,"Red Ribbon Week Dress up days: ""Life is a Movie, Film Drug Free""

Monday - ""Be a Star and Live Drug-Free!"" Dress for the red carpet celebrating a glamorous and successful lifestyle.
"
Red Ribbon Week,2024-10-29,2024-10-30,,"Red Ribbon Week Dress Up Days - ""Life is a Movie. Film Drug Free""

Tuesday, October 29: ""Drug Free is the Real Magic!"" - Dress as your favorite Disney, Harry Potter, or other magical character.

"
Annual Title 1 Trick or Treat Night,2024-10-29 04:00 PM,2024-10-29 06:00 PM,,"
"
3rd grade promotion law informational meeting,2024-10-29 05:00 PM,2024-10-29 05:30 PM,,"
"
Red Ribbon Week,2024-10-30,2024-10-31,,"Red Ribbon Week Dress Up Days - ""Life is a Movie. Film Drug Free!""

Wednesday, October 30: ""Kick Drugs Out of the Game."" - Dress as your favorite athlete from a sports movie or wear something from your favorite sports team.
"
Red Ribbon Week,2024-10-31,2024-11-01,,"Red Ribbon Week Dress Up Days - ""Life is a Movie. Film Drug Free.""

Thursday, October 31: ""No Tricks, Just Treats with a Drug-Free Life!"" Day - Dress in your school appropriate Halloween costume to show that being drug-free is a real treat!.
"
Red Ribbon Week,2024-11-01,2024-11-02,,"Red Ribbon Week Dress Up Days - ""Life is a Movie, Film Drug Free.""

Friday, November 1: ""Yellow Jackets are Drug-Free!"" - Wear your yellow jacket school spirit attire!
"
PD Day for Teachers,2024-11-04 08:00 AM,2024-11-04 08:30 AM,,"Professional Development for teachers. No students
"
Election Day No school,2024-11-05 08:00 AM,2024-11-05 08:30 AM,,"
"
2nd Grade Field Trip,2024-11-07,2024-11-08,,"
"
Veteran's Day event,2024-11-08 09:00 AM,2024-11-08 10:00 AM,,"
"
World Kindness Day,2024-11-13,2024-11-14,,"Pay $1 for a kindness card to give to someone.
"
Quarter 2 Progress Reports,2024-11-15,2024-11-16,,"
"
PTO Meeting,2024-11-19 05:30 PM,2024-11-19 06:30 PM,,"
"
Mason Fundraiser Book Walk,2024-11-22 08:00 AM,2024-11-22 08:30 AM,,"Bring $1 to participate in the story walk.
"
EL Family Engagement Morning,2024-11-25 08:00 AM,2024-11-25 10:00 AM,,"
"
4th Grade Field Trip,2024-11-25 08:00 AM,2024-11-25 08:30 AM,,"
"
Literacy Day,2024-11-26,2024-11-27,,"
"
House Meeting ,2024-11-26 01:00 PM,2024-11-26 01:30 PM,,"
"
No School-Thanksgiving Break,2024-11-27,2024-11-30,,"
"
Cookies with Claus,2024-12-10 04:00 PM,2024-12-10 06:00 PM,,"
"
1st grade field trip,2024-12-13,2024-12-14,,"
"
1/2 Day,2024-12-20 07:00 AM,2024-12-20 10:45 AM,,"
"
Winter Break,2024-12-23,2025-01-07,,"
"
Yearbook sale,2025-01-07,2025-02-01,,"If you would like to purchase a yearbook, please bring in your order form and money before January 31st.
"
Quarter 2 Report Cards,2025-01-10,2025-01-11,,"
"
House Meeting,2025-01-10 08:30 AM,2025-01-10 10:00 AM,,"PreK and Kindergarten will spin to find out which house they will be in.
"
PJ Day,2025-01-17,2025-01-18,,"Join us for a PTO dress up day.
Bring $1.00 and dress in PJs.
"
Reward,2025-01-17 12:30 PM,2025-01-17 02:00 PM,,"Behavior reward
PreK-2nd Grade 12:30-1:00
3rd-5th Grade 1:10-1:50
"
PTO Meeting,2025-01-21 02:30 PM,2025-01-21 03:30 PM,,"
"
Spelling Bee,2025-02-06 01:00 PM,2025-02-06 01:30 PM,,"4th and 5th Grade Spelling Bee is at 1:00
"
Cookie Dough fundraiser begins,2025-02-10,2025-02-11,,"Be on the lookout for our cookie dough fundraiser information.
"
PTO Meeting,2025-02-11 02:30 PM,2025-02-11 03:30 PM,,"Please join us for an amazing PTO meeting.
"
Parent/Teacher Conferences,2025-02-13 03:30 PM,2025-02-13 06:30 PM,,"
"
Wear Blue and bring $1,2025-02-18 08:00 AM,2025-02-18 08:30 AM,,"
"
Cookie Dough Fundraiser ends,2025-02-24,2025-02-25,,"Please make sure you bring back your orders.
"
Benchmark testing,2025-02-24 08:00 AM,2025-02-24 10:00 AM,,"
"
Benchmark testing ,2025-02-25 08:00 AM,2025-02-25 10:00 AM,,"
"
Benchmark testing ,2025-02-26 08:00 AM,2025-02-26 10:00 AM,,"2nd - 5th Grade
"
Benchmark testing,2025-02-27 08:00 AM,2025-02-27 10:00 AM,,"2nd - 5th Grade
"
Benchmark testing ,2025-02-28 08:00 AM,2025-02-28 10:00 AM,,"2nd - 5th Grade
"
Professional Development Day for teachers,2025-03-03,2025-03-04,,"No school for students
"
Wacky socks day Read Across America,2025-03-04 08:00 AM,2025-03-04 08:30 AM,,"Dress up day ""Fox in Socks""
Wear silly or mismatched socks
"
Penny Wars begin,2025-03-04 08:00 AM,2025-03-04 08:30 AM,,"Bring your pennies and your coins for your house. Who will win the Penny wars?
"
Wacky Wednesday Read Across America,2025-03-05 08:00 AM,2025-03-05 08:30 AM,,"""Wacky Wednesday""
Get silly and wear your clothes backwards or inside out
"
Sleep Book Read Across America,2025-03-06 08:00 AM,2025-03-06 08:30 AM,,"""Sleep Book""
Wear appropriate pajamas or comfy clothes.
"
Read Across America week,2025-03-07 08:00 AM,2025-03-07 08:30 AM,,"""Oh The Places You'll Go""
Wear your favorite school, college, or vacation shirt.
"
Penny War ends,2025-03-07 08:00 AM,2025-03-07 08:30 AM,,"Let's see which House has won the penny war.
"
Stephanie Mason fundraiser begins,2025-03-10 08:00 AM,2025-03-10 08:30 AM,,"
"
Stephanie Mason fundraiser ends,2025-03-14 08:00 AM,2025-03-14 08:30 AM,,"
"
House meeting ,2025-03-14 01:00 PM,2025-03-14 01:30 PM,,"Minute to win it games in the gym.
"
Spring Break,2025-03-17,2025-03-22,,"
"
Jacket Dash fundraiser note,2025-03-24 08:00 AM,2025-03-24 08:30 AM,,"Please check your child's folder for information about our Jacket Dash fundraiser.
"
County Job Fair,2025-03-25 08:00 AM,2025-03-25 08:30 AM,,"Check out the Robertson County Job Fair.
"
Mason bball game 3rd Grade,2025-03-26 12:00 PM,2025-03-26 12:30 PM,,"
"
Honor's Choir at GMS,2025-03-27 06:00 PM,2025-03-27 06:30 PM,,"
"
3rd Grade Field Trip,2025-03-28 08:00 AM,2025-03-28 01:30 PM,,"
"
Q3 Report Cards,2025-03-28 08:00 AM,2025-03-28 08:30 AM,,"Keep an eye out for your child's report card!
"
Mason bball games ,2025-03-28 12:00 PM,2025-03-28 02:00 PM,,"
"
Jacket Dash,2025-04-04 08:00 AM,2025-04-04 08:30 AM,,"Please make sure you bring in your money for the Jacket Dash.
"
Book Fair,2025-04-07,2025-04-12,,"The book fair will be at KES. Check with your child's teacher to find out what day they will be able to attend.
"
Kindergarten Field Trip,2025-04-08,2025-04-09,,"Have an amazing time on your field trip!
"
PTO Meeting: TCAP Prep for parents,2025-04-08 05:30 PM,2025-04-08 06:30 PM,,"
"
TCAP pep rally,2025-04-11 08:00 AM,2025-04-11 08:30 AM,,"Get hyped up about doing our best on TCAP!
"
TCAP testing for 3rd-5th Grade,2025-04-15 08:00 AM,2025-05-01 08:30 AM,,"Encourage your child to:
     

  1.  Get a good night's rest and eat a normal breakfast before testing.
  2.  Arrive at school on time, stay relaxed and think positively.
  3.  Read and pay careful attention to all directions.
  4.  Read every possible answer - the best one could be last.
  5.  Decide exactly what the question is asking; one response is clearly best.
  6.  Read and respond to items one at a time rather than thinking about the whole test.
  7.  Don't expect to find a pattern in the positions of the correct answers.
  8.  Don't spend too much time on any one question.
  9.  Don't make uneducated guesses. Try to get the correct answer by reasoning and eliminating wrong answers.
  10. Skip difficult questions until all other questions have been answered. On scrap paper, keep a record of the unanswered items to return to, if time permits.
  11. After completing the test, use any remaining time to check your answers.

"
1st Grade Field Trip,2025-04-17,2025-04-18,,"Have an amazing day on your field trip!
"
4th Grade Pastries with Parents,2025-05-01 09:00 AM,2025-05-01 09:30 AM,,"Hello 4th Grade parents,

Join the 4th Grade for pastries with parents on Thursday, May 1st at 9:00. Please arrive by 8:30 to be scanned in.
"
2nd Grade Field Trip,2025-05-02,2025-05-03,,"
"
Spring Screeners,2025-05-02 08:00 AM,2025-05-02 08:30 AM,,"
"
Dental Screenings,2025-05-05,2025-05-08,,"
"
5th Grade visits Middle Schools,2025-05-05 08:00 AM,2025-05-05 08:30 AM,,"
"
2nd Grade Mother's Day Tea,2025-05-08 12:15 PM,2025-05-08 01:00 PM,,"2nd Grade Parents - Please join 2nd Grade for a Mother's Day Tea. Please arrive by 11:45 to be scanned in.
"
Career Day,2025-05-09,2025-05-10,,"We are looking forward to a great career day!
"
5th Grade Field Trip ,2025-05-12 08:00 AM,2025-05-12 08:30 AM,,"
"
TCAP Reward Party,2025-05-13 08:00 AM,2025-05-13 08:30 AM,,"
"
Close House,2025-05-15 04:00 PM,2025-05-15 06:00 PM,,"Join us in closing out the school year.
"
Field Day,2025-05-19,2025-05-20,,"
"
Kindergarten Promotion,2025-05-21 09:00 AM,2025-05-21 10:00 AM,,"
"
5th Grade Picnic,2025-05-22 11:45 AM,2025-05-22 12:45 PM,,"
"
Report Card Day,2025-05-23 07:30 AM,2025-05-23 10:30 AM,,"Come to Krisle and pick up your child's report card
"
In-Person Registration ,2025-07-24 08:00 AM,2025-07-24 03:00 PM,,"
"
In-Person Registration ,2025-07-29 12:00 PM,2025-07-29 07:00 PM,,"
"
