Event Name,Event Start,Event End,Event Location,Event Description
Color Day- Red,2024-08-14,2024-08-15,,"
"
Color Day- Orange,2024-08-15,2024-08-16,,"
"
Color Day- Yellow,2024-08-16,2024-08-17,,"
"
Color Day- Green,2024-08-19,2024-08-20,,"
"
Color Day- Blue,2024-08-20,2024-08-21,,"
"
Color Day- Purple,2024-08-21,2024-08-22,,"
"
Color Day- Black & White,2024-08-22,2024-08-23,,"
"
Color Day- Brown,2024-08-23,2024-08-24,,"
"
Nursery Rhyme Day,2024-08-26,2024-08-27,,"Dress up as your favorite Nursery Rhyme!
"
PJ/ Hat Day,2024-08-30,2024-08-31,,"
"
PTO Parent Meeting,2024-09-05,2024-09-06,,"
"
Spirit Night @ Tavern 76,2024-09-10,2024-09-11,,"
"
In School Girl Scout meeting,2024-09-18 09:30 AM,2024-09-18 10:00 AM,,"
"
Girl Scout Parent Meeting,2024-09-19 05:00 PM,2024-09-19 05:30 PM,,"
"
Spirit Night @ Dairy Queen,2024-09-26,2024-09-27,,"
"
Hat/PJ sponsored by PTO,2024-09-27,2024-09-28,,"
"
Pj/ Hat day 1$ for PE,2024-09-27,2024-09-28,,"
"
Fall Fundraiser Kick Off,2024-10-02,2024-10-03,,"
"
Picture Day! :) ,2024-10-02 08:00 AM,2024-10-02 08:30 AM,,"
"
K Field Trip,2024-10-16,2024-10-17,,"
"
Q1 Report Cards,2024-10-18,2024-10-19,,"
"
1st field trip,2024-10-18,2024-10-19,,"
"
Mustache Day (Red Ribbon Week),2024-10-24,2024-10-25,,"
"
Red Ribbon week Dress-up Day MUSTACHE DAY,2024-10-24 08:00 AM,2024-10-24 08:30 AM,,"
"
Red Ribbon Week,2024-10-25,2024-10-31,,"
"
PJ/Hat Day sponsored by PTO,2024-10-25,2024-10-26,,"
"
Super Hero Day (Red Ribbon Week),2024-10-25,2024-10-26,,"
"
Red  Ribbon Dress up Day WEAR RED!,2024-10-28 08:00 AM,2024-10-28 08:30 AM,,"
"
Red Ribbon Dress Up Day - WESTERN DAY!,2024-10-29 08:00 AM,2024-10-29 08:30 AM,,"
"
Red Ribbon Dress Up Day -Hawaiian Day!,2024-10-30 08:00 AM,2024-10-30 08:30 AM,,"
"
School Wide Trick or Treat Activity,2024-10-31,2024-11-01,,"
"
Book Fair,2024-11-11,2024-11-12,,"
"
Class Pictures and Retake Pictures,2024-11-11 08:00 AM,2024-11-11 08:30 AM,,"
"
Book Fair,2024-11-12,2024-11-13,,"
"
Book Fair,2024-11-13,2024-11-14,,"
"
Book Fair,2024-11-14,2024-11-15,,"
"
Last Day of Book Fair,2024-11-15,2024-11-16,,"
"
Thanksgiving Meal for all students,2024-11-22,2024-11-23,,"
"
Fundraiser Assembly ,2024-12-06,2024-12-07,,"
"
Holiday Parties,2024-12-19,2024-12-20,,"
"
1/2 Day,2024-12-20,2024-12-21,,"
"
Deadline for Aviation Art Contest,2025-01-07,2025-01-08,,"
"
No School!,2025-02-17 08:00 AM,2025-02-17 08:30 AM,,"
"
READ ACCROSS AMERICA WEEK,2025-03-03 08:00 AM,2025-03-03 08:30 AM,,"
"
Green Eggs and Ham Day ..... Wear Green,2025-03-04 08:00 AM,2025-03-04 08:30 AM,,"
"
Happy Birthday Dr Seuss!! Dress up as your favorite Dr. Suess Book Character,2025-03-05 08:00 AM,2025-03-05 08:30 AM,,"
"
Crazy Hat Day! Wear a fun or colorful Hat to School,2025-03-06 08:00 AM,2025-03-06 08:30 AM,,"
"
"OH, The Places You'll Go! Wear your favorite school or college shirt today",2025-03-07 08:00 AM,2025-03-07 08:30 AM,,"
"
Spring Pictures!,2025-03-12 08:00 AM,2025-03-12 08:30 AM,,"
"
RFWE Opera ,2025-03-25 08:00 AM,2025-03-25 08:30 AM,,"
"
Good Friday No School,2025-04-18 08:00 AM,2025-04-18 08:30 AM,,"
"
Career Day,2025-04-25 08:00 AM,2025-04-25 08:30 AM,,"
"
Field Day,2025-05-02 08:00 AM,2025-05-02 08:30 AM,,"
"
Kindergarten Registration In Person 8A-1p 3p-6p,2025-05-08 08:00 AM,2025-05-08 01:00 PM,,"
"
PTO Fun Run!,2025-05-09 08:00 AM,2025-05-09 08:30 AM,,"
"
