Event Name,Event Start,Event End,Event Location,Event Description
2ND GRADE TOURS OF CPES,2024-05-08 08:00 AM,2024-05-08 10:00 AM,,"2nd grade will be going to Cheatham Park Elementary School to take a tour of the school they will be attending when they move to 3rd grade.
"
Field Day,2024-05-17 07:30 AM,2024-05-17 01:00 PM,,"Save the date! Specific details will be communicated closer to the event.
"
RAIN FIELD DAY,2024-05-20,2024-05-21,,"If field day is cancelled on Friday the 17th due to rain it will be held on this monday.
"
Awards Day,2024-05-21 12:00 PM,2024-05-22 12:30 PM,,"Save the date!
We will have our Kindergarten Ceremony and our Awards Day program for grades 1-2 (invitation only) around these dates. Dates and times will be communicated closer to the event.
"
In-Person Registration [In-person],2024-07-29 12:00 PM,2024-07-29 07:00 PM,,"Need help with registration? Join us at WES for help.💻
"
In-Person Registration [In-person],2024-07-30 08:00 AM,2024-07-30 03:00 PM,,"Need help with registration? Join us at WES for help.💻
"
Open House K-2[In-person],2024-08-05 03:30 PM,2024-08-05 06:30 PM,,"Join us for Open House to meet your teachers! Registration must be completed before meeting your student's teacher.🏫
"
K Screening Day 1,2024-08-06 07:30 AM,2024-08-06 10:30 AM,,"Sign Up for a date/time at Open House August 5.
"
1/2 Day 1st and 2nd Grade,2024-08-06 08:00 AM,2024-08-06 08:30 AM,,"Doors open at 6:40 and dismissal at 10:40
"
K Screening Day 2,2024-08-07 07:30 AM,2024-08-07 01:00 PM,,"Sign up for a date/time at Open House August 5.
"
Full Day 1st and 2nd,2024-08-07 08:00 AM,2024-08-07 08:30 AM,,"Doors open at 6:40 and dismissal starts at 2:10.
"
K Screening Day 3,2024-08-08 07:30 AM,2024-08-08 01:00 PM,,"Sign up for a date/time at Open House August 5.
"
K Boys Start,2024-08-12 07:10 AM,2024-08-12 02:10 PM,,"Kindergarten boys attend All Day!
"
K Girls Start,2024-08-13 07:10 AM,2024-08-13 02:10 PM,,"Kindergarten Girls attend All Day!
"
All K Students Attend,2024-08-14 07:10 AM,2024-08-14 02:10 PM,,"All Kindergarten attends full day!
"
Wear Red,2024-08-19 08:00 AM,2024-08-19 08:30 AM,,"Wear red color day!
"
Wear Orange,2024-08-20 08:00 AM,2024-08-20 08:30 AM,,"Wear orange color day!
"
