Event Name,Event Start,Event End,Event Location,Event Description
Parent Teacher Conferences,2024-09-19 03:30 PM,2024-09-19 06:30 PM,,"
"
Wheels In Motion,2024-09-26,2024-09-27,,"The White House Rotary sponsors this monthly event. One student will be awarded a bike and safety gear.
"
PTO Meeting [In-person],2024-10-02,2024-10-03,,"PTO meeting in cafeteria
"
Patriot Parties,2024-10-03,2024-10-04,,"
"
5th Grade DARE begins,2024-10-03,2024-10-04,,"
"
Heritage Band Fall Concert,2024-10-03 06:30 PM,2024-10-03 07:45 PM,White House Heritage High School,"
"
Fall Break Robertson County,2024-10-07,2024-10-12,,"
"
Nurse Alicia B'day,2024-10-07,2024-10-08,,"
"
Kathie Steele B'day,2024-10-07,2024-10-08,,"
"
Rob Co School Board Meeting,2024-10-14 06:30 PM,2024-10-14 07:30 PM,,"
"
Classroom Picture Day,2024-10-17,2024-10-18,,"
"
Report Cards,2024-10-18,2024-10-19,,"
"
Wheels In Motion - 5th Grade,2024-10-24,2024-10-25,,"The White House Rotary sponsors this monthly event. One student will be awarded a bike and safety gear.
"
Halloween,2024-10-31,2024-11-01,,"
"
5th Grade Dare Begins,2024-10-31 08:00 AM,2024-10-31 08:30 AM,,"
"
Pie in Face Assembly,2024-11-01 01:00 PM,2024-11-01 02:00 PM,,"
"
Daylight Savings Ends,2024-11-03,2024-11-04,,"
"
PD Day 3 hours,2024-11-04 08:00 AM,2024-11-04 11:00 AM,,"
"
Election Day - NO school,2024-11-05,2024-11-06,,"
"
PTO Meeting [In-person],2024-11-06,2024-11-07,,"
"
Veteran's Day Program,2024-11-11 09:00 AM,2024-11-11 10:30 AM,,"
"
PTO meeting-Student of the Month,2024-11-12 05:30 PM,2024-11-12 06:00 PM,,"
"
5th Grade DARE,2024-11-14 08:00 AM,2024-11-14 10:00 AM,,"
"
Pink Out Day for Breast Cancer Awareness,2024-11-15,2024-11-16,,"
"
Qtr 2 Progress Reports,2024-11-15,2024-11-16,,"
"
Deja Moo Spirit Night,2024-11-18 04:00 PM,2024-11-18 07:00 PM,,"
"
Wheels In Motion,2024-11-21,2024-11-22,,"The White House Rotary sponsors this monthly event. One student will be awarded a bike and safety gear.
"
4th Grade 4-H,2024-11-21,2024-11-22,,"
"
Stem Night,2024-11-21 06:00 PM,2024-11-21 08:00 PM,,"
"
Hat Day for $1,2024-11-22,2024-11-23,,"
"
Thanksgiving Break,2024-11-27,2024-11-30,,"
"
Thanksgiving Day,2024-11-28,2024-11-29,,"
"
PTO Meeting [In-person],2024-12-04,2024-12-05,,"
"
PTO Holiday Showdown - family event [In-person],2024-12-12 05:30 PM,2024-12-12 07:00 PM,,"https://holiday-showdown-tickets.cheddarup.com/?fbclid=IwZXh0bgNhZW0CMTAAAR2Rc3K8-MCkxXrVKs6JiCo8ByyL-mlXPSYo9_l8TN_fQk8oXIIbNTY7H4I_aem_D5Em1FbRY3RkAYr6njjquA

Register/reserve your spot for the HES PTO Holiday Showdown!
"
Band & Choir School Christmas Concert,2024-12-16 08:15 AM,2024-12-16 09:00 AM,,"
"
Christmas Choral Concert,2024-12-17 06:30 PM,2024-12-17 07:30 PM,,"
"
