Event Name,Event Start,Event End,Event Location,Event Description
MS Homecoming Dress Up Day- Jersey Day,2024-09-09,2024-09-10,,"
"
Parent/Teacher Conferences,2024-09-09 03:30 PM,2024-09-09 06:30 PM,,"
"
Parent-Teacher Conferences ,2024-09-09 03:30 PM,2024-09-09 06:30 PM,,"
"
MS Homecoming Dress Up Day- Twin Day,2024-09-10,2024-09-11,,"
"
MS Homecoming Dress Up Day- Country vs. Country Club,2024-09-11,2024-09-12,,"
"
MS Homecoming Dress Up Day- Patriot Pride (7th-Blue 8th-Red),2024-09-12,2024-09-13,,"
"
Jostens to meet with Juniors,2024-09-12 11:00 AM,2024-09-12 12:00 PM,,"Located in the Theatre.
"
MS Zoo Field Trip forms due!,2024-09-13,2024-09-14,,"
"
 MS Homecoming Dress Up Day- Pajama Day,2024-09-13,2024-09-14,,"
"
Josten's meet with Seniors,2024-09-17 11:00 AM,2024-09-17 12:00 PM,,"Located in the theatre.
"
National Honor Society Induction Ceremony,2024-09-19 03:30 PM,2024-09-19 07:30 PM,theater; Commons Area,"
"
picture Retake Day for HS and HS Fall Sports,2024-09-25,2024-09-26,,"
"
MS Picture Day,2024-09-27 10:00 AM,2024-09-27 01:00 PM,,"This includes middle school faculty, middle school retakes/makeups, middle school cheer, cross country, and volleyball.
"
Josten's to take orders,2024-09-30,2024-10-01,,"Located in the commons area.
"
HS Beta Leadership Meeting,2024-10-01 07:15 AM,2024-10-01 08:00 AM,,"Located in Ms. Searcy's room.
"
HS Beta Meeting,2024-10-03 07:15 AM,2024-10-03 08:00 AM,,"Located in the theatre.
"
HS National Honors Society,2024-10-17 06:00 PM,2024-10-17 07:30 PM,,"Located in the theatre.
"
Titans Business Learning Lab for FBLA,2024-10-22,2024-10-23,,"
"
HS Beta Leadership Meeting,2024-11-06 07:15 AM,2024-11-06 08:00 AM,,"Located in the Ms. Searcy's room.
"
HS Beta Meeting,2024-11-07 07:15 AM,2024-11-07 08:00 AM,,"Located in the theatre.
"
 Discover Accounting Field Trip at MTSU,2024-11-08,2024-11-09,,"
"
Thanksgiving Break (No School),2024-11-27,2024-11-30,,"
"
HS Beta Leadership Meeting,2024-12-03 07:15 AM,2024-12-03 08:00 AM,,"Located in Ms. Searcy's room.
"
HS Beta Meeting,2024-12-05 07:15 AM,2024-12-05 08:00 AM,,"Located in the theatre.
"
8th Grade Career Fair,2024-12-17,2024-12-18,,"
"
HS 3/4 Block Examps,2024-12-18,2024-12-19,,"
"
HS 1/2 Block Exams,2024-12-19,2024-12-20,,"
"
1/2 Day of School,2024-12-20,2024-12-21,,"
"
Winter Break (No School),2024-12-23,2025-01-04,,"
"
